,kcat,data_type,MW,kcat_MW
DPRm,16.84285714285714,Other_species,46386.00420000005,1307.1676847363724
BAMPPALDOX,4677.44868907671,fill,46619.061700000115,361200.2186795646
SELCYSLY2_h,4677.44868907671,fill,217002.33080000046,77597.39362521225
ACHMSSELCYSL_m,4677.44868907671,fill,71559.93800000027,235310.6465893821
PNTKm,10.026970149253732,Other_species,36324.734700000015,993.7331362619261
AGDI_1,4677.44868907671,fill,42931.17960000004,392228.1064151366
SEMETHL_c,4677.44868907671,fill,42383.73930000009,397294.23497742496
TRPS3,15.965891860465117,Other_species,71652.72490000034,802.1636410602739
GDRh,32886.594753066674,Brenda_SA,53503.136800000015,2212800.0
GDR,32886.594753066674,Brenda_SA,53503.136800000015,2212800.0
GDRm,32886.594753066674,Brenda_SA,53503.136800000015,2212800.0
GDR_nadp_h,32886.594753066674,Brenda_SA,53503.136800000015,2212800.0
GTHOr,32886.594753066674,Brenda_SA,53503.136800000015,2212800.0
GTHOm,32886.594753066674,Brenda_SA,53503.136800000015,2212800.0
GTHPi_num1,10746.15827586207,Other_species,28960.59390000001,1335821.0099794755
FNOR_h_num1,4677.44868907671,fill,37938.7711,443841.87448486325
r0614,1.86666665,Other_species,15569.719199999989,431.60700932872345
DPCOAK,4.969783333333333,Other_species,18390.888799999986,972.8306333949457
ASPOR_m,4677.44868907671,fill,67852.00610000028,248169.74837647562
QULNS_m,4677.44868907671,fill,24534.49340000002,686332.2998418277
NNDPR,400.852,Other_species,31918.23450000001,45211.372828280946
DNADDP,15180.952445328357,Other_species,19617.20180000001,2785893.1849894137
NADS2,72.64008571428572,Other_species,80049.19120000057,3266.7951374807485
THD1_h,4677.44868907671,fill,71807.04360000034,234500.88510086047
FTHFCL,114.29444444444445,Other_species,25046.6647,16427.73618477034
UPP3S_1,286.086,Other_species,64340.42440000006,16007.193138750868
DHBILVOX_h_num1,4677.44868907671,fill,43890.22080000015,383657.5659395202
PHYEBILIN_h,4677.44868907671,fill,76475.24620000005,220186.48016691374
AMETt_h,4677.44868907671,fill,23929.222199999993,703692.5454549944
AMETtm,4677.44868907671,fill,23929.222199999993,703692.5454549944
AMPtp,4677.44868907671,fill,26251.942200000023,641431.218779544
THFtm,4677.44868907671,fill,53051.20690000002,317406.82756599365
MLTHFtm,4677.44868907671,fill,53051.20690000002,317406.82756599365
ME_x,4677.44868907671,fill,60560.6073000001,278048.98318244127
SUCCtp,4677.44868907671,fill,26251.942200000023,641431.218779544
r0009,297.986065,Other_species,45929.0957000001,23356.65045545405
ETFQO_m,4677.44868907671,fill,114167.14300000007,147492.65715334707
MGDGS_EPA_HDTTE_h_num1,4677.44868907671,fill,43032.55260000007,391304.1235828555
MGDGS_HDE_HDDE_h_num1,4677.44868907671,fill,43032.55260000007,391304.1235828555
MGDGS_HDE_HDTE_h_num1,4677.44868907671,fill,43032.55260000007,391304.1235828555
MGDGS_MYRS_HDDE_h_num1,4677.44868907671,fill,43032.55260000007,391304.1235828555
MGDGS_MYRS_HDTE_h_num1,4677.44868907671,fill,43032.55260000007,391304.1235828555
MGDGS_OLE_HDDE_h_num1,4677.44868907671,fill,43032.55260000007,391304.1235828555
GLXtp,4677.44868907671,fill,26251.942200000023,641431.218779544
MGDGS_OLE_HDTE_h_num1,4677.44868907671,fill,43032.55260000007,391304.1235828555
GMAND,4.316,Other_species,40990.080600000045,379.05756155063483
SUCFUMtm,4677.44868907671,fill,35273.92970000001,477372.8196401138
P5CRm,347.9546875,Other_species,28925.12000000001,43306.19458104234
PYRt_x,4677.44868907671,fill,26251.942200000023,641431.218779544
GFUCS,0.75,Other_species,35102.400900000066,76.9178156130054
ALDD3C7_c,4677.44868907671,fill,46619.061700000115,361200.2186795646
ALDD16,20.092344889142858,Other_species,46619.061700000115,1551.5636515033957
PFK_ppi,176.55555555555554,Other_species,45146.69850000009,14078.54884449632
ALDD3C161_c,4677.44868907671,fill,46619.061700000115,361200.2186795646
FACOAL_70_c_num1,4677.44868907671,fill,69102.54790000022,243678.64561295146
FACOAL_161_2E_c_num1,4677.44868907671,fill,69102.54790000022,243678.64561295146
CATC162E_c,4677.44868907671,fill,69705.5510000003,241570.6502438534
