,glucose,acetate,O2,oxygen_uptake
0.1,1.402696085416671,0.0,4.0982338625000265,2.921683396074101
0.15000000000000002,1.9611274614583407,0.0,5.289850793750037,2.6973518538241152
0.2,2.5195588374999858,0.0,6.481467724999951,2.572461348603052
0.25,3.077990213541697,0.0,7.673084656250123,2.4928879313820396
0.3,3.636421589583324,0.0,8.864701587499969,2.437754085745521
0.35,4.194852965624982,0.0,10.056318518749835,2.3972994050463856
0.39999999999999997,4.753284341666632,0.0,11.247935449999757,2.3663502204995215
0.44999999999999996,5.311715717708307,0.0,12.439552381250062,2.3419085362152994
0.49999999999999994,5.870147093750034,0.0,13.631169312500045,2.3221171624495063
0.5499999999999999,6.775862996448694,1.1385152638123057,14.628230876067649,2.158873472461658
0.6,7.982089966565065,3.5249941122861475,14.933551674818284,1.8708824051559325
0.65,9.235025999999365,6.120194917830386,15.101682939335298,1.6352615508972401
