,glucose,acetate,O2,oxygen_uptake
0.1,1.4026960854166708,0.0,4.098233862500026,2.921683396074101
0.15000000000000002,1.9611274614583483,0.0,5.289850793750047,2.6973518538241104
0.2,2.519558837499982,0.0,6.481467724999899,2.5724613486030345
0.25,3.0779902135416872,0.0,7.673084656250072,2.492887931382031
0.3,3.6364215895833416,0.0,8.864701587500074,2.4377540857455378
0.35,4.194852965624977,0.0,10.056318518749881,2.3972994050463994
0.39999999999999997,4.7532843416666335,0.0,11.247935449999872,2.366350220499545
0.44999999999999996,5.311715717708298,0.0,12.43955238124996,2.3419085362152847
0.49999999999999994,5.870147093750029,0.0,13.631169312500111,2.3221171624495196
0.5499999999999999,6.428578469791666,0.0,14.822786243749935,2.305764223522079
0.6,6.987009845833328,0.0,16.014403174999966,2.292025276671119
0.65,7.545441221874998,0.0,17.206020106249927,2.280319944229097
