,MW
PPNCL2,521.2577
PRAGSr,45.9404
PRFGS,141.4027
ETHAAL,487.1078
MAN1PT2,53.0163
AP4AH,31.2967
AP5AH,31.2967
ADNCYC,97.586
MI1PP,29.1721
MCITS,86.2044
PPAKr,43.3841
NTP3_num1,68.8674
NTP3_num2,36.7039
NTP3_num3,35.6597
NTP3_num4,39.1933
NTP3_num5,31.565
NTP3_num6,36.1132
NTP3_num7,48.3271
PPM2,44.37
MOAT2,47.2911
G6PDH2r,55.7044
NADH5_num1,40.7511
NADH5_num2,47.3587
NADH5_num3,40.34
NADH5_num4,83.3822
MOHMT,282.3744
GMPS,117.3584
UDPGD,87.3138
GLCRD_num1,48.8496
GLCRD_num2,49.141
PPPNDO,126.9954
CHRPL_num1,18.7769
CHRPL_num2,59.4301
TDPAGTA,167.6041
UACMAMO,91.6775
FBA3,78.2945
PMPK,114.5344
LCADi,209.0912
ADK3,23.586
GLUDC_num1,316.111
GLUDC_num2,316.0088
BSORy,85.8507
ADSK,44.6426
HSDy_num1,177.7754
HSDy_num2,356.481
CYSTL_num1,172.8495
CYSTL_num2,87.2837
SHSL1,166.2016
SSALy_num1,99.4357
SSALy_num2,206.8803
3HCINNMH,62.1857
BSORx,85.8507
GLUtex_num1,41.2198
GLUtex_num2,116.766
GLUtex_num3,117.9999
GLUtex_num4,121.1044
GLYtex_num1,41.2198
GLYtex_num2,116.766
GLYtex_num3,117.9999
GLYtex_num4,121.1044
GLYALDtex_num1,41.2198
GLYALDtex_num2,116.766
GLYALDtex_num3,117.9999
GLYALDtex_num4,121.1044
GLYBtex_num1,41.2198
GLYBtex_num2,116.766
GLYBtex_num3,117.9999
GLYBtex_num4,121.1044
GLYCtex_num1,41.2198
GLYCtex_num2,116.766
GLYCtex_num3,117.9999
GLYCtex_num4,121.1044
GLYC3Ptex_num1,41.2198
GLYC3Ptex_num2,116.766
GLYC3Ptex_num3,117.9999
GLYC3Ptex_num4,121.1044
GLYCLTtex_num1,41.2198
GLYCLTtex_num2,116.766
GLYCLTtex_num3,117.9999
GLYCLTtex_num4,121.1044
GTPtex_num1,116.766
GTPtex_num2,41.2198
GTPtex_num3,121.1044
GTPtex_num4,117.9999
GUAtex,33.589
Htex_num1,41.2198
Htex_num2,116.766
Htex_num3,117.9999
Htex_num4,121.1044
H2tex_num1,41.2198
H2tex_num2,116.766
H2tex_num3,117.9999
H2tex_num4,121.1044
H2Otex_num1,41.2198
H2Otex_num2,121.1044
H2Otex_num3,34.9132
H2Otex_num4,27.2003
H2Otex_num5,37.2008
H2Otex_num6,116.766
H2Otex_num7,117.9999
FACOAL160t2pp_num1,60.7731
FACOAL160t2pp_num2,124.664
FACOAL180t2pp_num1,60.7731
FACOAL180t2pp_num2,124.664
SPODMpp,17.681
NO3R1bpp,189.2373
PHYTSpp,94.1137
PPTHpp,98.8772
NO3R2pp_num1,250.963
NO3R2pp_num2,474.5552
NTP3pp,94.1137
NO3R2bpp,132.4391
THD2pp,206.6929
TMAOR1pp_num1,138.0625
TMAOR1pp_num2,129.2504
TMAOR2pp_num1,138.0625
TMAOR2pp_num2,129.2504
DAPtex_num1,41.2198
DAPtex_num2,116.766
DAPtex_num3,117.9999
DAPtex_num4,121.1044
12PPDStex_num1,41.2198
12PPDStex_num2,116.766
12PPDStex_num3,117.9999
12PPDStex_num4,121.1044
DDGLCNtex_num1,41.2198
DDGLCNtex_num2,116.766
DDGLCNtex_num3,117.9999
DDGLCNtex_num4,121.1044
26DAHtex_num1,41.2198
26DAHtex_num2,116.766
26DAHtex_num3,117.9999
26DAHtex_num4,121.1044
HCINNMtex_num1,41.2198
HCINNMtex_num2,116.766
HCINNMtex_num3,117.9999
HCINNMtex_num4,121.1044
HPPPNtex_num1,121.1044
HPPPNtex_num2,117.9999
HPPPNtex_num3,41.2198
HPPPNtex_num4,116.766
ACtex_num1,41.2198
ACtex_num2,116.766
ACtex_num3,117.9999
ACtex_num4,121.1044
ACALDtex_num1,41.2198
ACALDtex_num2,116.766
ACALDtex_num3,117.9999
ACALDtex_num4,121.1044
ACMANAtex_num1,117.9999
ACMANAtex_num2,121.1044
ACMANAtex_num3,116.766
ACMANAtex_num4,41.2198
ACMUMtex_num1,41.2198
ACMUMtex_num2,116.766
ACMUMtex_num3,117.9999
ACMUMtex_num4,121.1044
ACACT7r_num1,46.5305
ACACT7r_num2,81.7524
PSP_L,35.0427
ACACT2r_num1,46.5305
ACACT2r_num2,81.7524
ACACT3r_num1,46.5305
ACACT3r_num2,81.7524
ACACT4r_num1,46.5305
ACACT4r_num2,81.7524
SUCCt2_2pp_num1,45.4363
SUCCt2_2pp_num2,20.0709
SUCFUMtpp_num1,48.4122
SUCFUMtpp_num2,47.9353
SUCFUMtpp_num3,45.7507
SUCptspp,204.296
SULabcpp_num1,116.3443
SULabcpp_num2,182.5619
SULabcpp_num3,181.6066
TSULabcpp_num1,181.6066
TSULabcpp_num2,182.5619
TARTRt7pp,52.9064
AHGDx,176.7031
TAURabcpp,150.4835
THMDt2pp_copy1_num1,46.3892
THMDt2pp_copy1_num2,43.4758
Kt2pp_num1,141.9722
Kt2pp_num2,140.9882
Kt2pp_num3,184.2504
Kt2pp_num4,69.2941
AKGt2rpp,47.0525
XYLt2pp,53.608
THMabcpp,205.228
THMDt2pp_copy2,46.1398
THRabcpp,173.0651
TREptspp,256.6556
TRPt2rpp_num1,45.2107
TRPt2rpp_num2,44.3326
TRPt2rpp_num3,49.6901
TYRt2rpp_num1,42.8191
TYRt2rpp_num2,49.6901
URIt2pp_copy1_num1,46.3892
URIt2pp_copy1_num2,43.4758
URIt2pp_copy2,46.1398
VALabcpp,173.0651
XTSNt2rpp,46.1398
XYLabcpp,174.2661
XYLUt2pp,98.8541
THRt4pp,43.4777
GALtex_num1,41.2198
GALtex_num2,116.766
GALtex_num3,117.9999
GALtex_num4,121.1044
GALCTtex_num1,41.2198
GALCTtex_num2,116.766
GALCTtex_num3,117.9999
GALCTtex_num4,121.1044
GALCTNtex_num1,41.2198
GALCTNtex_num2,116.766
GALCTNtex_num3,117.9999
GALCTNtex_num4,121.1044
GALTtex_num1,41.2198
GALTtex_num2,116.766
GALTtex_num3,117.9999
GALTtex_num4,121.1044
GALURtex_num1,41.2198
GALURtex_num2,116.766
GALURtex_num3,117.9999
GALURtex_num4,121.1044
GTPCI,248.3062
FDMO,166.9451
FEOXAMabcpp,161.1942
CBL1abcpp,153.4278
ACACt2pp,47.5277
ACGAptspp_num1,255.8472
ACGAptspp_num2,272.9368
ACMANAptspp,295.8849
ACNAMt2pp,53.5512
CHOLD,61.8776
DRPA,27.7338
TKT2_num1,144.4235
TKT2_num2,73.0427
FEENTERabcpp,162.6328
FECRMabcpp,161.1942
GAMtex_num1,41.2198
GAMtex_num2,116.766
GAMtex_num3,117.9999
GAMtex_num4,121.1044
GBBTNtex_num1,41.2198
GBBTNtex_num2,116.766
GBBTNtex_num3,117.9999
GBBTNtex_num4,121.1044
ARBt2rpp,51.6844
DMSOR1pp,129.2504
ARGabcpp_num1,136.8168
ARGabcpp_num2,104.9824
ARGabcpp_num3,105.0825
ARGAGMt7pp,93.6852
ASCBptspp,265.8512
ASNt2rpp,54.2331
ASPabcpp,139.1598
ASPt2pp,47.1592
ASPt2_2pp,45.4363
ASPt2_3pp_num1,45.7507
ASPt2_3pp_num2,47.9353
HIStex_num1,41.2198
HIStex_num2,116.766
HIStex_num3,117.9999
HIStex_num4,121.1044
HXAtex_num1,41.2198
HXAtex_num2,116.766
HXAtex_num3,117.9999
HXAtex_num4,121.1044
HYXNtex_num1,117.9999
HYXNtex_num2,121.1044
HYXNtex_num3,116.766
HYXNtex_num4,41.2198
IDONtex_num1,41.2198
IDONtex_num2,116.766
IDONtex_num3,117.9999
IDONtex_num4,121.1044
ILEtex_num1,41.2198
ILEtex_num2,116.766
ILEtex_num3,117.9999
ILEtex_num4,121.1044
INSTtex_num1,41.2198
INSTtex_num2,116.766
INSTtex_num3,117.9999
INSTtex_num4,121.1044
INStex,33.589
Ktex_num1,41.2198
Ktex_num2,116.766
Ktex_num3,117.9999
Ktex_num4,121.1044
D_LACtex_num1,41.2198
D_LACtex_num2,116.766
D_LACtex_num3,117.9999
D_LACtex_num4,121.1044
NTD8pp_num1,104.4142
NTD8pp_num2,60.824
FRULYStex_num1,41.2198
FRULYStex_num2,116.766
FRULYStex_num3,117.9999
FRULYStex_num4,121.1044
GALCTt2rpp_num1,49.1421
GALCTt2rpp_num2,49.0092
GALt2pp,50.9825
ASPtex_num1,41.2198
ASPtex_num2,116.766
ASPtex_num3,117.9999
ASPtex_num4,121.1044
ABUTt2pp,51.0801
CYSabcpp,133.9957
SBTptspp,203.4595
TREHpp,63.6367
CYTBDpp_num1,100.3437
CYTBDpp_num2,104.6999
CYTBD2pp,100.3437
ACt2rpp,20.0709
ATPS4rpp_num1,543.6444
ATPS4rpp_num2,530.0127
INDOLEtex_num1,41.2198
INDOLEtex_num2,116.766
INDOLEtex_num3,117.9999
INDOLEtex_num4,121.1044
L_LACtex_num1,121.1044
L_LACtex_num2,117.9999
L_LACtex_num3,41.2198
L_LACtex_num4,116.766
ACt4pp,118.3942
ADEt2rpp_num1,46.8658
ADEt2rpp_num2,48.868
ADEt2rpp_num3,46.9336
ADNt2pp_copy1_num1,46.3892
ADNt2pp_copy1_num2,43.4758
ADNt2pp_copy2,46.1398
ALAabcpp,173.0651
ALLabcpp,158.2861
ALLTNt2rpp,52.4561
ARBabcpp,213.9992
ECOAH8_num1,77.0722
ECOAH8_num2,159.1878
GLCDpp_num1,86.7474
GLCDpp_num2,41.0545
GUAtpp_num1,46.758
GUAtpp_num2,45.7115
HYD2pp_num1,482.9335
HYD2pp_num2,181.7482
HYXNtpp_num1,45.7115
HYXNtpp_num2,46.758
FE3DCITabcpp,158.5519
CPGNtonex,149.1413
GLCRtex_num1,41.2198
GLCRtex_num2,116.766
GLCRtex_num3,117.9999
GLCRtex_num4,121.1044
GLCNtex_num1,41.2198
GLCNtex_num2,116.766
GLCNtex_num3,117.9999
GLCNtex_num4,121.1044
GLCURtex_num1,41.2198
GLCURtex_num2,116.766
GLCURtex_num3,117.9999
GLCURtex_num4,121.1044
GLNtex_num1,121.1044
GLNtex_num2,117.9999
GLNtex_num3,41.2198
GLNtex_num4,116.766
O2tex_num1,41.2198
O2tex_num2,116.766
O2tex_num3,117.9999
O2tex_num4,121.1044
OCTAtex_num1,41.2198
OCTAtex_num2,116.766
OCTAtex_num3,117.9999
OCTAtex_num4,121.1044
ORNtex_num1,41.2198
ORNtex_num2,116.766
ORNtex_num3,117.9999
ORNtex_num4,121.1044
ECOAH5_num1,77.0722
ECOAH5_num2,159.1878
DHFS,45.4057
CITt7pp,53.0926
CRNt7pp,169.7619
CHLabcpp,133.6869
DGSNt2pp,46.3892
DINSt2pp,46.3892
DURIt2pp_num1,43.4758
DURIt2pp_num2,46.3892
FE2abcpp,84.4737
FRUptspp,290.9291
