,MW,kcat,kcat_MW
FMNRx_num1,42.5067,23127.606,544.0931900147506
FMNRx_num2,26.242,23127.606,881.3202499809465
DHBS,118.2243,20871.0962028,176.5381245885998
MDDCP1pp_num1,41.849,54493.150896,1302.1374679442758
MDDCP1pp_num2,87.2178,54493.150896,624.7939170215254
MDDCP1pp_num3,88.8879,54493.150896,613.054767814292
MDDCP1pp_num4,51.7983,54493.150896,1052.0258559836907
MDDCP1pp_num5,43.3461,54493.150896,1257.1638716285895
MDDCP1pp_num6,47.7524,54493.150896,1141.16046305526
GUI2,53.9872,34845.0467832,645.4316353357833
OMBZLM,28.0732,37665.374004000005,1341.6843824002965
GLYCK,38.7345,29775.8760804,768.7171921775162
MLTG5,69.041,51313.467024000005,743.231804637824
GPDDA3,27.4096,16136.6708736,588.7233259004145
2DOXG6PP_num1,23.0075,9865.296,428.7860914919048
2DOXG6PP_num2,29.7077,9865.296,332.0787539930725
2DOXG6PP_num3,24.3302,9865.296,405.4753351801465
2DOXG6PP_num4,30.3709,9865.296,324.8272524027935
AGMH,37.5947,17554.432525199998,466.9390239900836
MPTG_num1,186.3215,18797.0254488,100.88489760333616
MPTG_num2,128.5962,18797.0254488,146.17092455920158
MPTG_num3,194.8907,18797.0254488,96.4490632380098
MPTG_num4,195.5471,18797.0254488,96.12530919047124
MPTG2_num1,194.8907,11151.7965828,57.22077340170669
MPTG2_num2,195.5471,11151.7965828,57.02869836883288
MPTG2_num3,128.5962,11151.7965828,86.71948768937183
MPTG2_num4,186.3215,11151.7965828,59.85244098399809
MCTP1App_num1,228.3702,42697.940688,186.96809254447385
MCTP1App_num2,229.0266,42697.940688,186.43223401997847
MCTP2App_num1,228.3702,125796.395304,550.8441788989982
MCTP2App_num2,229.0266,125796.395304,549.2654359973907
MCTP1Bpp_num1,36.0824,374951.4102,10391.531888122743
MCTP1Bpp_num2,67.8125,374951.4102,5529.237385437788
SFGTHi_num1,125.0371,65737.54738799999,525.7443381844269
SFGTHi_num2,31.4245,65737.54738799999,2091.920233830292
DSBCGT,51.2433,35098.2169128,684.9327992693679
DSBGGT,54.99,176926.593564,3217.432143371522
DHNAOT4,33.594,28638.7639452,852.4963965350955
AMPMS2,70.8504,25.2,0.3556790081636801
THIORDXi_num1,20.4696,21554.2065348,1052.9862105170594
THIORDXi_num2,29.4406,21554.2065348,732.1252465914417
THIORDXi_num3,33.1887,21554.2065348,649.4441341420423
PPPGO3,84.9052,432.0,5.088027588416257
PDX5POi,51.0903,108.0,2.1139042049077807
PLIPA1A181pp,66.3263,9331.0861356,140.68455703996756
LPLIPAL2A141,38.9783,9300.07818,238.596300505666
CYTBO3_4pp,143.9313,2052552.00636,14260.636889682788
EAR141x,111.4558,14822.302788,132.98816919352782
EAR181x,111.4558,24255.1712736,217.6214362428873
EAR181y,111.4558,16968.8397924,152.2472566918904
G3PAT141,100.021,9708.9606684,97.06922214734904
G3PAT181,100.021,18222.06537,182.18239539696663
DASYN140,31.4538,24327.9837648,773.4513402132651
DASYN180,31.4538,17275.5871992,549.2368870915437
DASYN141,31.4538,23858.2204128,758.5163132212961
CDAPPA160,28.4508,33511.4056188,1177.8721729722888
CDAPPA141,28.4508,30059.944019999995,1056.55883208908
PGSA141,20.7006,18750.231079200003,905.7820101446335
5DOAN,48.7079,36.0,0.7390998174834061
