,kcat_mw,flux,enz useage,enz ratio
3OAR141,90.96171033203834,0.0554342384406042,0.0006094238799847992,0.0026846866959682786
3OAR161,90.96192064647128,0.0554342384406042,0.0006094224709266259,0.00268468048866355
GF6PTA,59.19782462943433,0.0348197830309238,0.0005881936244936054,0.0025911613413815214
XPPT,153.7939417463142,0.0896319764101848,0.0005828056384563855,0.0025674257200721824
EAR160y,83.44146042108173,0.0470322079911813,0.0005636551392297837,0.002483062287355875
MDH2,708.3667304448311,0.3838445532977795,0.0005418726442117598,0.002387104159523171
3HAD80_num1,245.1369709922215,0.1311453770324821,0.0005349881598914083,0.002356776034763913
3HAD100_num1,245.1369867441965,0.1311453770324821,0.0005349881255142209,0.002356775883322559
EAR120x,143.31947678272462,0.0757111385918779,0.0005282683155943808,0.002327173196451017
3OAR160,90.96167649440734,0.0470322079911813,0.0005170552017483211,0.002277776219155599
PRPPS,841.6549039549013,0.4335786741200839,0.0005151501786334467,0.0022693840468433774
3OAS161,109.12144537034212,0.0554342384406042,0.0005080049870350284,0.002237907431872372
3OAS141,109.12153200526596,0.0554342384406042,0.000508004583714322,0.002237905655129172
3OAS121,109.12165217901452,0.0554342384406042,0.0005080040242578449,0.0022379031905631936
AIRC3_reverse,329.0153582681981,0.1650166150468621,0.0005015468454586493,0.002209457468980834
GCALDD,0.3443473469949955,0.0001643555079141,0.00047729569967178706,0.0021026242276290176
PRFGS,356.4288376388852,0.1650987928008192,0.00046320267993603967,0.0020405404402468706
RPI_reverse_num2,2662.589220757405,1.2194807720388152,0.0004580055994112075,0.002017645812384174
FUM_num1,867.9343976321557,0.3842793919479715,0.00044275165611172747,0.0019504478242807378
EAR121x,126.43936047832416,0.0554342384406042,0.00043842548895292333,0.0019313898191758736
GMPS,207.54316749717103,0.0896319764101848,0.00043187148722400876,0.0019025175648634746
DHDPS,316.59763079439625,0.1366984558413572,0.00043177346431291346,0.0019020857458718653
3OAS160_num1,109.12143451457642,0.0470322079911813,0.00043100797016097463,0.0018987135249382142
PFK_num2,15417.796401281734,6.618245692570828,0.0004292601562711407,0.0018910139042781528
3OAS140_num1,178.59311874461727,0.0757111385918779,0.0004239308833625473,0.0018675369311125431
EAR141x,132.98816919352782,0.0554342384406042,0.00041683586424845704,0.0018362813403015729
KAS15,328.94489647949734,0.1311453770324821,0.00039868494217740874,0.001756321331178012
DHORTS_reverse,315.24129867052653,0.1219013009875799,0.00038669204035663064,0.0017034891645666547
IPMD_num2,437.5553455422189,0.1660252272109172,0.00037943823313409326,0.0016715340666700143
G1SAT,3.570948351301963,0.0013148440633131,0.0003682058472880767,0.001622052190696373
3HAD40_num1,359.0746392254752,0.1311453770324821,0.00036523152210181977,0.0016089494365718931
CTPS2,163.9774638649157,0.0591550849953332,0.00036075131058292887,0.0015892128219512284
TKT1_num2,2504.071229568458,0.8755340743289162,0.00034964423694920307,0.0015402829821550795
VPAMTr,447.77750087345225,0.155939474080643,0.0003482521425852379,0.0015341504078644841
EAR140y,136.78978253980503,0.0470322079911813,0.0003438283702037117,0.0015146624238048974
PRAIS,488.4130780741872,0.1650987928008192,0.00033803106471227956,0.0014891236330937425
EAR40x,396.3841660640362,0.1311453770324821,0.00033085422743979,0.0014575076098669161
ORPT_reverse,380.9740552127975,0.1219013009875799,0.0003199727102662949,0.0014095714108647353
IMPC_reverse,627.9522477201845,0.1999285256046437,0.00031838173416927053,0.0014025627055915002
AICART,627.9522477201845,0.1999285256046437,0.00031838173416927053,0.0014025627055915002
SADT2,291.8677247112501,0.0911996184071956,0.00031246900799813,0.0013765154537362554
DHDPRy,438.1602832045513,0.1366984558413572,0.0003119827631148867,0.0013743734057924523
NDPK1_num1,934.7031422030018,0.2911281440118393,0.00031146588779586143,0.0013720964220082
3HAD120_num2,245.1373481855971,0.0757111385918779,0.0003088519116008218,0.0013605811083736642
RHCCE,0.5562365447409895,0.0001650925281291,0.0002968027356166881,0.0013075010379589784
CYSTL_num2,192.38585684154089,0.0567177591447858,0.0002948125193605138,0.0012987335654648185
ATPPRT,118.6812001186812,0.0349119105577815,0.00029416546616371916,0.0012958831108533884
G5SD,282.3209922462556,0.0814610017981211,0.00028854036375398684,0.0012711029240263737
HISTD,121.01404565352463,0.0349119105577815,0.00028849469802652333,0.0012709017534208076
NADS1,2.937638823834696,0.0008394660247269,0.00028576216310727026,0.0012588641546575781
G6PDH2r,10017.16201951731,2.844770893378895,0.0002839897056507801,0.0012510559720298683
ANS,76.62779371377806,0.0209472200366904,0.0002733632148529938,0.001204243237237858
LEUTAi_num2,621.2833745848435,0.1660252272109172,0.0002672294704841559,0.0011772223369346073
THRD_L_num2,404.7088089088453,0.1070628730017703,0.00026454297669088945,0.0011653875625149315
IPPS,628.2952778374076,0.1660252272109172,0.0002642471351724559,0.0011640842959139027
OCBT_num2,414.8420983441557,0.1090023416971787,0.0002627562200949761,0.0011575163880835951
SHSL1,216.60441295390655,0.0567177591447858,0.00026184950884105645,0.0011535220653791033
TRPAS2_reverse,85.2701500470407,0.0209472200366904,0.0002456571264989509,0.001082189984576876
NTD11_num2,367.17295138353,0.0896319764101848,0.00024411377818667215,0.0010753910933333575
PPNCL2,1.0359559196919297,0.0002483758124083,0.00023975519391033687,0.0010561902815433343
PPCDC,1.0359559196919297,0.0002483758124083,0.00023975519391033687,0.0010561902815433343
HSTPT,150.9140590165434,0.0349119105577815,0.0002313363697543541,0.0010191029504597097
AMPMS2,0.3556790081636801,8.21777539570741e-05,0.00023104471186350328,0.0010178181139361378
ACHBS_num1,468.6812923650193,0.1070628730017703,0.00022843427878573692,0.0010063184087477396
SDPTA_reverse_num2,603.6338759331173,0.1366984558413572,0.00022645921856198707,0.0009976177029162425
3HAD141_num1,245.13678101960824,0.0554342384406042,0.00022613594830622367,0.000996193604873232
3HAD161_num1,245.1368959331121,0.0554342384406042,0.00022613584229984684,0.0009961931378847878
3HAD121_num1,245.13720499445148,0.0554342384406042,0.00022613555719483267,0.0009961918819155625
T2DECAI,245.13748340586372,0.0554342384406042,0.00022613530036458802,0.000996190750504793
GLUTRS,6.020547907023415,0.0013148440633131,0.00021839275820382343,0.000962082635259134
PANTS,1.1393252346297904,0.0002483758124083,0.00021800255524842001,0.0009603636795084582
PPBNGS,3.031597030578779,0.0006574220316565,0.00021685666829241742,0.0009553157193498565
ICYSDS,0.3992060235753334,8.21777539570741e-05,0.00020585299094708296,0.0009068413698109381
IGPDH,169.81996352843183,0.0349119105577815,0.00020558189880859578,0.0009056471313153999
HISTP,169.81996352843183,0.0349119105577815,0.00020558189880859578,0.0009056471313153999
TRDR_num1,444.4570121414832,0.0911996184071956,0.00020519333909881977,0.0009039354145322457
OGMEACPS,0.003652085179516,7.370202149646702e-07,0.00020180805724316248,0.00088902227860424
RPE,8085.508288276547,1.6106219450239037,0.00019919860169572754,0.0008775268797168614
P5CR,409.3106810190699,0.0814610017981211,0.000199019975719436,0.0008767399811428899
CBMKr,1170.796288723648,0.2309036426847586,0.00019721931552796419,0.0008688075573919127
ACGK,556.7102547722625,0.1090023416971787,0.00019579725856095303,0.0008625429892552996
ADK1,4731.62045281099,0.9255197679944172,0.00019560312946161578,0.0008616877949850915
3HAD160_num1,245.1374662305176,0.0470322079911813,0.00019186054549064348,0.0008452006409279448
PHETA1_reverse_num2,356.1027872882874,0.0682720250531719,0.00019171999627709018,0.000844581481396873
ACLS_num2,1685.4620848443,0.3222130771039686,0.00019117195219122007,0.0008421671902696919
PAPSR_num2,486.2921585931169,0.0911996184071956,0.00018754079578631,0.000826170906547621
3HAD140_num1,255.3897223319038,0.0470322079911813,0.0001841585775721169,0.0008112712668375193
TYRTA_reverse_num2,276.8056248363491,0.0508982475282381,0.0001838772154949155,0.0008100317863212136
HXAND,497.7574563210616,0.0896319764101848,0.00018007158963053428,0.0007932669146719571
GLUPRT,971.886974324658,0.1650987928008192,0.00016987447837290193,0.0007483457197044138
TKT2_num2,4436.658632169951,0.7350878706949874,0.0001656850192090301,0.0007298899524626876
PGL,18244.114179951303,2.844770893378895,0.00015592814566492086,0.0006869081306824707
ACOTA_reverse_num4,729.3993967685466,0.1090023416971787,0.00014944122819417053,0.000658331401736434
CHORS,965.8268487088452,0.1404462036339287,0.00014541550985218792,0.0006405969597012683
GLU5K,576.0881184385963,0.0814610017981211,0.00014140371792237166,0.0006229238674994346
NDPK2_num1,1043.0824279827018,0.1470786485474687,0.00014100385990771172,0.0006211623784480692
HSST,403.0531274403608,0.0567177591447858,0.0001407203052981601,0.0006199132391989431
3HAD60_num1,932.9466898447736,0.1311453770324821,0.00014057113708641002,0.0006192561105128195
ARGSL,786.9915855495626,0.1090023416971787,0.0001385050916663378,0.0006101545888384925
MECDPS,6.391465420988468,0.0008803706466522,0.0001377415958101275,0.0006067911709697247
PPNDH,501.0281515192635,0.0682720250531719,0.00013626385033685474,0.0006002812790169812
ANPRT,158.2558099664234,0.0209472200366904,0.000132363039569509,0.000583097090614577
CYSS_num1,727.6295733395788,0.0911996184071956,0.00012533797655944572,0.0005521496764733291
SERAT,777.7154948442238,0.0911996184071956,0.00011726604267472241,0.0005165904963644159
PGAMT_reverse,302.8798828864453,0.0348197830309238,0.00011496234975757144,0.0005064420694166142
IPPMIa_reverse,1472.5361039004108,0.1660252272109172,0.00011274781431243309,0.0004966864066627008
5DOAN,0.7390998174834061,8.291477417193575e-05,0.00011218345913581192,0.0004942002605101847
PPA_num2,11276.511583619576,1.249095963985789,0.0001107697140842957,0.0004879723087413908
RBFSb,1.5355151866717285,0.0001643555079141,0.00010703606798598007,0.0004715245285725994
PRAGSr,1567.2479995820672,0.1650987928008192,0.00010534311917759382,0.0004640666043065807
TYRL,0.8030904108774135,8.21777539570741e-05,0.00010232690223170651,0.00045077930498549124
ACODA,1105.145894607337,0.1090023416971787,9.86316306553423e-05,0.0004345005755741952
RBK,919.018810981558,0.0896319764101848,9.753007809976531e-05,0.00042964792114434056
IPPMIb_reverse,1702.964146564911,0.1660252272109172,9.749190994173927e-05,0.00042947977947902763
ASNS2_num1,933.1374290426746,0.0888312039467376,9.519627139795626e-05,0.0004193668343522302
NDPK3_num2,734.215077283134,0.0667014349753017,9.084726947057744e-05,0.00040020823555320453
SHK3Dr,1567.459932820192,0.1404462036339287,8.960114430563866e-05,0.0003947186973816681
G1PACT,390.3227074300909,0.0348197830309238,8.920767961510471e-05,0.00039298537275376524
UAGDP,390.3227074300909,0.0348197830309238,8.920767961510471e-05,0.00039298537275376524
PSCVT,1640.0626521288275,0.1404462036339287,8.563465758556681e-05,0.0003772451876016159
TRPS3,249.20741668020557,0.0209472200366904,8.405536366347731e-05,0.00037028794565408505
UMPK_num1,1698.234488388163,0.1393111925030418,8.203295449220652e-05,0.0003613786541506895
CHORM_num2,1463.9725380745674,0.11917027258141,8.1401986363859e-05,0.00035859905887162554
DAPDC,1559.2093509249685,0.1264582969760695,8.110411658386396e-05,0.00035728685719763856
MTHFC,4000.805315079525,0.324088425040667,8.100579746261035e-05,0.0003568537333154641
MTHFD,4000.805315079525,0.324088425040667,8.100579746261035e-05,0.0003568537333154641
INSH,1109.0377080415717,0.0896319764101848,8.081959320252887e-05,0.00035603345023140474
DDPA_num3,1816.4421992484845,0.1404462036339287,7.731939045020833e-05,0.0003406140548467327
UAGAAT,188.93186254017303,0.0143394653003482,7.589754902934473e-05,0.00033435043625261993
AHCYSNS,2.2172994524502183,0.0001650925281291,7.445657732277214e-05,0.00032800254327212394
OMPDC,1639.4531361182533,0.1219013009875799,7.435485547101799e-05,0.0003275544293877444
HSDy_reverse_num1,3593.075395583416,0.25726685577036,7.160073960223343e-05,0.0003154217603622618
APG3PAT161,436.8392987104274,0.0277171192203021,6.344923476922634e-05,0.0002795120474415257
DHORD2,1957.8784211885952,0.1218651869970517,6.224349054476497e-05,0.0002742003988756166
ASPK_num3,6504.619992891252,0.3939653116117173,6.0566998847322794e-05,0.00026681497289569514
RNTR2c2_num3,167.52117840744654,0.0099560375724586,5.9431515866271155e-05,0.0002618128452258641
PRAIi,363.6929380934004,0.0209472200366904,5.759589434566068e-05,0.00025372640680907787
IGPS,363.6929380934004,0.0209472200366904,5.759589434566068e-05,0.00025372640680907787
ACPPAT160,429.6181268536304,0.0235161039955906,5.473722481826859e-05,0.00024113314897915677
IG3PS,643.9487998515186,0.0349119105577815,5.42153515401092e-05,0.000238834147753785
PPND,941.9040256882917,0.0508982475282381,5.4037615447119955e-05,0.00023805116937057247
RNTR3c2_num1,192.9237708557609,0.0099560375724586,5.160606973571035e-05,0.0002273395142542306
ADSK,1774.09021875966,0.0911996184071956,5.1406415210922606e-05,0.00022645997890274275
HSK,4336.233573689948,0.2005490966255741,4.624960653466724e-05,0.00020374276006461338
AGPR_reverse,2403.19758790168,0.1090023416971787,4.535721167744374e-05,0.00019981150518697682
SHKK_num2,3198.9347333792844,0.1404462036339287,4.390405411165248e-05,0.00019340993000727965
ACGS,2780.760040532424,0.1090023416971787,3.91987586517204e-05,0.00017268175617497972
QULNS,21.652266688981403,0.0008394660247269,3.877035308982661e-05,0.00017079450700364145
UAGCVT,265.07443504337584,0.0102401588652877,3.863125790916818e-05,0.0001701817529038246
DHQTi,3866.507200550486,0.1404462036339287,3.6323792081373335e-05,0.0001600167052042878
GTHOr,265.53504682761803,0.0096424354710349,3.631323091333645e-05,0.00015997018023496232
DXPS,29.28259852004564,0.0010447261545663,3.567737179646555e-05,0.00015716903875094955
RNTR1c2_num4,273.886863311586,0.0096424354710349,3.520590711963148e-05,0.00015509210184859682
A5PISO_num2,408.0725911418637,0.0143394653003482,3.5139496284775425e-05,0.00015479954310473754
PSD160,671.2231176811079,0.0235161039955906,3.503470511688021e-05,0.00015433790800387757
MPTG_num2,146.17092455920158,0.0051200794326438,3.502802932993754e-05,0.00015430849925082615
PSD161,791.4421835344406,0.0277171192203021,3.502102844268719e-05,0.00015427765833782905
NNDPR,25.27314377458065,0.0008394660247269,3.3215734149038565e-05,0.00014632482003981747
ACPPAT161,853.8610518632347,0.0277171192203021,3.2460924596361175e-05,0.00014299966782537962
KDOPP,450.06525946262207,0.0143394653003482,3.1860857950843666e-05,0.00014035620242662408
BPNT,2914.3469029544563,0.0911996184071956,3.129332967010236e-05,0.00013785607784186062
FLDR2_num1,996.5347650107162,0.0304348812626044,3.054071200644678e-05,0.00013454058152619726
G3PD2_reverse,1683.0942532781835,0.0512332232158928,3.0439901458938035e-05,0.0001340964821979649
APG3PAT160,829.4202361242532,0.0235161039955906,2.8352459912815194e-05,0.00012490070446174095
DHAD2,3818.008272351257,0.1070628730017703,2.8041550820380336e-05,0.00012353106088273277
GK1,3204.381016161779,0.0896319764101848,2.7971697484822316e-05,0.00012322333693754324
DHAD1,11536.427873291568,0.3222130771039686,2.79300560487997e-05,0.0001230398944881044
MCTP1App_num1,186.96809254447385,0.0051200794326438,2.738477653039057e-05,0.00012063778207220515
DAPE,5005.205479905524,0.1366984558413572,2.7311257527820307e-05,0.00012031390981418638
TMPPP,3.128353747289846,8.21777539570741e-05,2.6268689731225662e-05,0.00011572110013755798
KDOCT2,547.5404136972014,0.0143394653003482,2.618887107076292e-05,0.00011536947608265603
PRMICI,1382.88146401051,0.0349119105577815,2.5245772299625072e-05,0.0001112148559454849
AIRC2,7024.639455058273,0.1650166150468621,2.3491115252618073e-05,0.00010348508921858181
NDPK6_num1,417.85701460188255,0.0096424354710349,2.3075921030599012e-05,0.0001016560397823745
PSSA160,1022.6924082133564,0.0235161039955906,2.2994307776932884e-05,0.00010129651003054133
ALAALAr_num1,451.1205915891321,0.0102401588652877,2.2699382507048463e-05,9.999727976673331e-05
PSSA161,1227.2308898560275,0.0277171192203021,2.2585089284668944e-05,9.949378539501738e-05
TMDS,437.0121753166862,0.0096424354710349,2.2064454986974658e-05,9.720024223336854e-05
UAMAS,469.9217449760797,0.0102401588652877,2.179120028976091e-05,9.599647704740488e-05
DHPS2,11.75890328628683,0.0002465332618711,2.0965667959749764e-05,9.235977074779632e-05
IPDPS,44.51531364172937,0.0008803706466522,1.9776804309133888e-05,8.712248594332109e-05
DBTS,0.0372831364231387,7.37020214861651e-07,1.9768192420749257e-05,8.708454810902756e-05
DHQS,7222.036470255394,0.1404462036339287,1.9446897590779138e-05,8.566915238228695e-05
AMAOTr,0.0380263480340378,7.37020214861651e-07,1.938183004589176e-05,8.53825112153822e-05
CYTK1,3491.431042216412,0.0667014349753017,1.9104325466774403e-05,8.416002408270662e-05
UAAGDS,539.8960700065237,0.0102401588652877,1.896690758494309e-05,8.3554658964507e-05
PNTK,13.366410156271488,0.0002483758124083,1.8582088197537665e-05,8.185941937241261e-05
NDPK4_num1,540.1339477486646,0.0096424354710349,1.7851933786472024e-05,7.864288011661684e-05
AOXSr2,0.0432752123190104,7.37020214861651e-07,1.7031001706671808e-05,7.502643923643968e-05
GTPCII2,9.891921597362154,0.0001643555079141,1.661512440190874e-05,7.319438062514863e-05
UDCPDP_num2,673.987934638772,0.0102401588652877,1.5193386022223049e-05,6.693121595692973e-05
ASP1DC,18.21638462594968,0.0002483758124083,1.3634747921082137e-05,6.006496881533981e-05
DHFS,18.2355959714309,0.0002465332618711,1.3519342184227783e-05,5.955657349880081e-05
RNDR4b_num3,714.9252975775983,0.0096424354710349,1.3487332877584048e-05,5.941556333737466e-05
PTPATi,18.50124930153112,0.0002483758124083,1.3424813014532212e-05,5.914014543846789e-05
GLUTRR,104.53088952810386,0.0013148440633131,1.2578521710174435e-05,5.541198991266271e-05
DB4PS,26.205978131710733,0.0003287110158282,1.2543359922537709e-05,5.5257092169769636e-05
U23GAAT,1198.7191463935758,0.0143394653003482,1.1962322737139397e-05,5.269745699180351e-05
DUTPDP_num2,807.0496708387547,0.0096424354710349,1.1947759623039882e-05,5.263330230414045e-05
HMBS,13.824966471502256,0.0001643555079141,1.1888311501723354e-05,5.237141630715133e-05
CDPMEK,75.66607976950948,0.0008803706466522,1.1634944605745988e-05,5.12552625803788e-05
DHPPDA2,14.279233383657717,0.0001643555079141,1.1510107265436352e-05,5.070531834993988e-05
APRAUR,14.279233383657717,0.0001643555079141,1.1510107265436352e-05,5.070531834993988e-05
ALAR_num1,1466.9699680264437,0.0153602382979316,1.0470724440661974e-05,4.6126539386176096e-05
DHFR_num2,976.6383262108736,0.0098889687329061,1.0125517776138243e-05,4.4605805181225734e-05
PRAMPC,3480.4313625537225,0.0349119105577815,1.0030914826651064e-05,4.418905209978442e-05
PRATPP,3480.4313625537225,0.0349119105577815,1.0030914826651064e-05,4.418905209978442e-05
GARFT,17350.66678715741,0.1650987928008192,9.515414872875191e-06,4.1918127193282776e-05
TDSK,755.415655402045,0.0071697326501741,9.491109429494477e-06,4.1811054755482277e-05
USHD,761.3210071316493,0.0071697326501741,9.41748957799912e-06,4.148673822907101e-05
RBFK,9.327955364006185,8.21777539570741e-05,8.80983567676296e-06,3.8809848796312594e-05
FMNAT,9.327955364006185,8.21777539570741e-05,8.80983567676296e-06,3.8809848796312594e-05
UGMDDS,1213.981014685798,0.0102401588652877,8.435188640852059e-06,3.7159421325339466e-05
NADK,20.266297096750588,0.000164724018021,8.127978053149687e-06,3.580607071872108e-05
BTS5,0.0931481754601131,7.37020214861651e-07,7.912341934998499e-06,3.485613187224008e-05
HPPK2,31.8605217160431,0.0002465332618711,7.737891553325075e-06,3.408762798821619e-05
DMATT,13.433002898045997,0.0001024458098657,7.626426543881864e-06,3.359659270432539e-05
GRTT,13.433002898045997,0.0001024458098657,7.626426543881864e-06,3.359659270432539e-05
GRXR_num3,1307.8267893406294,0.0096424354710349,7.372868907125196e-06,3.2479598709802627e-05
SDPDS,18667.7651505973,0.1366984558413572,7.322700641377168e-06,3.2258593133820124e-05
SHCHF,12.251908855407455,8.21777539570741e-05,6.707342906881359e-06,2.9547766109609508e-05
SHCHD2,12.251908855407455,8.21777539570741e-05,6.707342906881359e-06,2.9547766109609508e-05
UHGADA,2226.417205846407,0.0143394653003482,6.440601187726103e-06,2.8372692456943184e-05
DXPRIi,136.9042131464921,0.0008803706466522,6.430559194771996e-06,2.8328454602519803e-05
UAGPT3,1618.4182341787716,0.0102401588652877,6.3272636510325955e-06,2.7873408154328612e-05
CPPPGO,13.110875762798036,8.21777539570741e-05,6.267907304121709e-06,2.761192644987537e-05
MECDPDH5_num1,160.0927912585826,0.0008803706466522,5.499127348152868e-06,2.4225230608602942e-05
OCTDPS,15.33352547565874,8.21777539570741e-05,5.359351578182556e-06,2.3609478317984826e-05
PMPK,15.71580241394725,8.21777539570741e-05,5.228988746011727e-06,2.3035192713708048e-05
THZPSN3,16.27857163993311,8.21777539570741e-05,5.048216500487249e-06,2.223883920919493e-05
UAMAGS,2222.524992761892,0.0102401588652877,4.607443740176995e-06,2.0297108987563856e-05
DHNPA2r,56.16935979779031,0.0002465332618711,4.389105782202605e-06,1.933526776300707e-05
GLUR_reverse,2438.552351461196,0.0102401588652877,4.199277845789012e-06,1.8499021347088157e-05
PSP_L,152145.81068239603,0.6128986404767836,4.028363566028169e-06,1.774609500452938e-05
DTMPK,2724.6237874793446,0.0096424354710349,3.538997022394601e-06,1.559029525283965e-05
MEPCT,251.7751508028247,0.0008803706466522,3.49665423233786e-06,1.5403763138052247e-05
TMPK,23.609384445179465,8.21777539570741e-05,3.4807241225576742e-06,1.533358644298535e-05
ASPO6,250.590844153046,0.0008394660247269,3.349946912722015e-06,1.4757475386440594e-05
LPADSS,2208.46128527256,0.0071697326501741,3.2464832858907187e-06,1.4301688484100081e-05
