reactions,data_type,kcat,MW,kcat_MW
GNK_num1,DLkcat,123.0747,19869.35199999999,2229.9112723957996
LPADSS,DLkcat,122.4752,42451.23650000005,5193.143431758454
GAM6Pt6_2pp,DLkcat,121.4766,50708.01780000002,2156.048387282848
PLIPA2E120pp,DLkcat,119.9853,32966.512599999995,6551.300788788924
PETNT181pp,DLkcat,119.9853,63999.97110000016,1687.2940431687118
MECDPDH2,DLkcat,119.8686,40625.13760000003,2655.5415285534914
ASCBptspp,DLkcat,118.5985,63367.87410000025,2359.5314207546985
GLCptspp_num2,DLkcat,116.7717,9119.2594,1198.2345085112102
PLIPA1G141pp,DLkcat,116.5981,32966.512599999995,6366.356749545903
MALTPTabcpp,DLkcat,116.5981,40798.74980000003,2423.9287059117755
OAP13pp,DLkcat,116.4205,47460.6900000001,2207.689142319671
PLIPA1A120pp,DLkcat,112.2154,32966.512599999995,6127.0575523357
PLIPA2A120pp,DLkcat,112.2154,32966.512599999995,6127.0575523357
PPAKr_reverse_num2,DLkcat,111.1,43994.87130000004,9091.059666311596
UPP3MT_num2,DLkcat,110.24,50146.06010000003,3957.0805683296317
PLIPA1G180pp,DLkcat,109.1459,32966.512599999995,5959.460206900988
PLIPA2G180pp,DLkcat,109.1459,32966.512599999995,5959.460206900988
UDCPDP_num3,DLkcat,109.1235,29791.49430000001,6593.234230617294
PLIPA2E181pp,DLkcat,107.8752,32966.512599999995,5890.078891753933
PLIPA1E161pp,DLkcat,107.8752,32966.512599999995,5890.078891753933
DHORD2,DLkcat,106.8579,36739.114700000006,10470.814093949844
PLIPA1E141pp,DLkcat,106.8531,32966.512599999995,5834.2713508616625
PGSA140,DLkcat,106.8531,20730.4642,9277.91959429447
PLIPA2A181pp,DLkcat,106.4871,32966.512599999995,5814.287435426216
KAS14_num2,DLkcat,106.2005,42952.13530000007,8901.112769590281
PLIPA2A160pp,DLkcat,105.3595,32966.512599999995,5752.719503609248
PLIPA1A140pp,DLkcat,105.3595,32966.512599999995,5752.719503609248
PHETRS,DLkcat,103.4951,36754.28410000001,1502.2742787780962
MALS,DLkcat,103.4951,60382.13540000018,6170.4071499266465
PLIPA2G140pp,DLkcat,102.733,32966.512599999995,5609.310339972085
PGP181abcpp,DLkcat,102.733,64338.92380000017,2874.1450599147183
UAMAGS,DLkcat,102.4428,46997.22830000008,3923.57265885826
NTRIR4pp,DLkcat,102.371,35105.80160000002,960.717316576793
PGSA161,DLkcat,101.5311,20730.4642,8815.817062118656
PGP140abcpp,DLkcat,101.5311,64338.92380000017,2840.5196917515036
PGLYCP,DLkcat,101.4565,27302.7988,13377.507656834068
PLIPA2E161pp,DLkcat,101.4565,32966.512599999995,5539.612339826325
PAPSR_num2,DLkcat,101.2609,28026.579800000018,3529.6520320137
LPLIPAL1E161pp,DLkcat,100.765,23051.29389999999,7868.408636271827
LEUt2rpp,DLkcat,99.9005,46220.38650000008,3890.5105218018825
MLTG1,DLkcat,99.6236,69055.34660000028,2596.793569637941
MANptspp,DLkcat,99.6236,9119.2594,1022.271966427802
GF6PTA,DLkcat,98.6206,66876.5044000001,2654.4012967280587
PRAIS,DLkcat,98.3442,,inf
PLIPA2G120pp,DLkcat,97.3888,32966.512599999995,5317.51241409745
PLIPA1E180pp,DLkcat,97.3888,32966.512599999995,5317.51241409745
PSCVT,DLkcat,97.0637,46131.42450000008,1262.4413971868548
DDGLCNt2rpp_reverse,DLkcat,96.9879,31678.220600000004,2755.4928385087383
MDDEP3pp_num1,DLkcat,96.2164,51955.97340000004,666.6779916397442
RNTR4c_num4,DLkcat,95.1535,27779.61270000002,1501.5102944245964
METAT,DLkcat,94.5453,6932.998700000002,49093.19830104683
IDOND2,DLkcat,94.3339,37167.25460000005,9137.130080089357
BSORy,DLkcat,94.1409,85722.5108000005,3953.5384210887814
UPLA4NT,DLkcat,94.0725,36515.90870000005,9274.34129552415
DMSOR1pp_num1,DLkcat,93.7855,30686.50830000002,572.7728396372282
AACPS7,DLkcat,92.2838,8639.416499999992,1698.7058219838452
AMPTASECG_num3,DLkcat,92.2012,54889.20310000006,1511.7923983851738
ACCOAC,DLkcat,92.0057,16687.081899999994,2462.4674899433007
KARA1,DLkcat,91.9059,53941.200000000055,6133.738960201102
2PGt6pp,DLkcat,90.9208,50997.99790000006,6418.190781563988
GTHRDabc2pp,DLkcat,90.6828,62988.70230000015,2554.2854615583747
MALt2_2pp,DLkcat,90.5315,45448.69230000006,7171.018207711985
DURIt2pp_num1,DLkcat,90.4032,43394.13670000005,3749.9480891850494
SUCFUMtpp_reverse_num1,DLkcat,90.1135,47896.72670000005,6773.084975763067
MLTG3,DLkcat,89.8448,69055.34660000028,2341.898896500497
MCITS,DLkcat,89.8448,43172.56930000005,3745.911874649531
METDabcpp,DLkcat,89.7827,37660.78610000007,3577.6020119118093
LPLIPAL2ATG120,DLkcat,89.6064,38923.65820000003,4143.791397284438
GLCATr_reverse,DLkcat,88.6251,20157.9362,15827.530994963661
KAS15,DLkcat,88.6251,33522.85600000004,4758.698960494291
ACKr_num3,DLkcat,87.14,42178.82400000004,3718.7381042202564
GLYCLTDx_num2,DLkcat,86.667,35033.82870000005,8905.712323700423
GLYTRS,DLkcat,85.2436,76451.58180000033,1379.8728888683254
PRATPP,DLkcat,84.2624,22674.40170000001,13378.28640479629
PSD181,DLkcat,83.1238,35887.95220000004,8338.33255049865
LPLIPAL2E120,DLkcat,82.3949,38923.65820000003,3810.300132581061
LPLIPAL2ATE141,DLkcat,82.3949,38923.65820000003,3810.300132581061
SHK3Dr_num3,DLkcat,82.326,29571.4453,5011.144991279814
DSBDR_num1,DLkcat,81.7357,11806.481899999984,1004.6110654150266
AMPTASECG_num1,DLkcat,81.674,98712.19100000066,744.6557436862031
SBTptspp,DLkcat,80.0114,9119.2594,1065.9877158186353
ACGAptspp_num2,DLkcat,79.5527,9119.2594,
SALCHS4FEtonex_num2,DLkcat,79.5527,73710.77730000028,1942.658390606871
AGM4PCP,DLkcat,78.8608,33350.587199999994,8512.560162658847
AGM3PA,DLkcat,77.4311,20942.3671,4436.8107748431175
ME1,DLkcat,76.5502,62895.12470000015,1095.3977804896517
MOAT2,DLkcat,76.5502,47297.378500000064,2913.276895462607
FBA_reverse_num1,DLkcat,76.3443,38087.68990000001,7215.966122429493
MDDEP2pp_num1,DLkcat,75.7631,51955.97340000004,524.958233195184
LPLIPAL2ATG141,DLkcat,75.7631,38923.65820000003,3503.6167283988716
ASPK_num1,DLkcat,75.7125,88693.84000000056,768.2748880869243
LPLIPAL1G180pp,DLkcat,75.2825,23051.29389999999,5878.563719149842
MCOATA,DLkcat,75.2825,32404.83800000001,2727.4252741911923
LIPAHT2ex,DLkcat,74.9442,22199.021499999995,6076.824602381687
AM3PA,DLkcat,74.806,20942.3671,4286.3922483719625
GND,DLkcat,74.2517,51394.60460000007,2600.52705999415
EDTXS3,DLkcat,73.6317,35168.52639999998,7537.254105705156
PRAGSr,DLkcat,72.7612,45692.30710000004,5732.7006803733875
PSSA181,DLkcat,72.0535,52732.99629999995,4918.980869668509
GTHRDHpp,DLkcat,71.7202,61719.523000000176,4183.323322184446
SALCHS2FER2,DLkcat,71.7091,45459.31580000008,5678.7647472687995
ARGabcpp_num2,DLkcat,71.7091,24805.285200000013,881.8500072122362
XYLK2_num2,DLkcat,71.4266,54974.88520000012,2338.66572949205
LPLIPAL1E141pp,DLkcat,69.786,23051.29389999999,5449.360046552531
MICITDr,DLkcat,69.786,93528.06060000064,2686.1414466237557
GPDDA4pp,DLkcat,69.6941,40424.463600000025,3103.3035154485
METSOXR2_num1,DLkcat,69.0165,15471.049299999991,1228.8589232279155
MDDCP3pp_num1,DLkcat,69.0165,44456.37370000001,5588.8364101996
CLPNS140pp_reverse_num2,DLkcat,66.4648,47301.621200000016,5058.4583346162335
ADCOBNSYN,DLkcat,66.4234,54966.319300000105,2175.1887614566867
TKT2_num4,DLkcat,66.4234,34561.602800000015,3459.391646037896
LPLIPAL1A161pp,DLkcat,64.4177,23051.29389999999,5030.167091835137
LPLIPAL2ATG161,DLkcat,64.4177,38923.65820000003,2978.955868027839
OAP5pp,DLkcat,64.3685,47460.6900000001,1220.6238468087986
PSD180,DLkcat,64.2548,35887.95220000004,6445.541353568781
TDSR1,DLkcat,64.0062,61418.00520000012,774.9376236985331
HYD2pp_num2,DLkcat,64.0062,62437.42810000001,2257.7134804941147
ALCD3ir_reverse,DLkcat,64.0062,39469.11900000004,5838.040621073903
RBK_num1,DLkcat,61.9159,32210.89620000005,3459.966444522578
ALCD2x_num3,DLkcat,60.7955,96214.22080000064,1137.3776047874958
HYD2pp_num3,DLkcat,60.7955,40029.457100000014,2049.754642045405
TYRt2rpp_reverse_num2,DLkcat,60.7955,49873.80300000004,4388.351936987838
FECRMabcpp,DLkcat,60.6507,73203.15870000041,1330.6958896592937
ALAALAabcpp,DLkcat,60.4437,37804.28400000002,824.8435445944052
GLCURt2rpp_reverse_num2,DLkcat,60.2303,31678.220600000004,1711.1841818539515
ADEt2rpp_reverse,DLkcat,59.9976,48731.36040000003,4432.286688224692
3NTD4pp_num2,DLkcat,59.8628,26980.0252,7987.615964124451
GLUSy,DLkcat,58.3163,163293.87970000005,243.55551636492083
LPLIPAL1G181pp,DLkcat,57.3494,23051.29389999999,4478.226708132859
GOFUCR,DLkcat,55.7578,35814.45690000003,5604.6663100453125
KDOPS,DLkcat,55.1115,30795.0883,6442.631307538742
TDPAGTA,DLkcat,55.0521,42008.5975,2358.8928433042784
CHLabcpp,DLkcat,54.5445,41422.32370000006,1456.783093111373
