reactions,data_type,kcat,MW,kcat_MW
BZSCT_reverse,DLkcat,1224.5344,45068.99630000004,48700.021420359255
CITCIb,DLkcat,1224.5344,46163.95100000003,51765.08679500737
ACOAD4f_reverse_num1,DLkcat,650.8167,41633.245900000016,28137.850765078096
ACONTb_num1,DLkcat,650.8167,102181.01680000064,22929.309116054766
PGK,DLkcat,581.9035,43577.88310000006,48071.46311336076
PGSA161_num1,DLkcat,581.9035,22009.1529,95180.97354850944
PGPP181,DLkcat,459.9992,16478.406999999992,100494.97624375952
PGSA120_num1,DLkcat,454.2408,22009.1529,74299.40113687882
PNTK,DLkcat,450.2641,28028.04110000001,28916.590250040692
PE120abcpp,DLkcat,442.756,63224.72800000026,12605.207253718776
I2FE2SS2_num1,DLkcat,442.756,30963.05040000004,13595.520077285562
PGSA160_num1,DLkcat,442.756,22009.1529,72420.85178116962
PE161abcpp,DLkcat,442.756,63224.72800000026,12605.207253718776
PE181abcpp,DLkcat,442.756,63224.72800000026,12605.207253718776
PGSA141_num1,DLkcat,442.756,22009.1529,72420.85178116962
PE160abcpp,DLkcat,408.6046,63224.72800000026,11632.921220317421
ACCOAC,DLkcat,351.2673,17150.865900000004,12446.324706329471
MOCOS_num3,DLkcat,348.9136,46856.26070000004,26807.281273300556
GLUSx,DLkcat,338.0396,46597.214400000026,1345.945552716039
ARGSL_reverse,DLkcat,333.873,51047.02330000009,23545.79605820028
PGPP181pp,DLkcat,332.0831,16478.406999999992,72549.43757609584
3OAR180_reverse_num2,DLkcat,327.1807,25590.392299999992,11506.764982262508
ACACT2r_reverse_num3,DLkcat,325.5026,42171.9397,13893.235268948276
ACACT1r_reverse_num3,DLkcat,320.7787,58304.763600000086,19806.3288262779
VANCYT,DLkcat,301.2926,50444.24440000007,21502.02412388594
ACACT4r_reverse_num3,DLkcat,288.9227,42171.9397,12331.916997405744
PE180abcpp,DLkcat,287.0381,63224.72800000026,8171.9383593077355
ACACT3r_reverse_num3,DLkcat,285.5,42171.9397,12185.827914384503
VOR1b,DLkcat,283.8224,26763.262599999987,2786.687697490848
ACACT5r_reverse_num3,DLkcat,258.2954,42171.9397,11024.670036697413
MCCC,DLkcat,249.8817,57733.26730000003,6959.037647502554
ACACT6r_reverse_num3,DLkcat,247.4447,42171.9397,10561.53601585464
ACACT7r_num5,DLkcat,237.9766,42710.71020000002,10029.28487946332
I4FE4ST_num2,DLkcat,230.9243,30963.05040000004,11691.950403809205
PGSA161_num2,DLkcat,230.9243,21013.59629999999,39561.40910539908
FERCYT_num4,DLkcat,224.6915,50444.24440000007,16035.316013178282
SULFACabcpp_num1,DLkcat,220.9247,28288.73740000001,5821.818955940286
IOR2b_num2,DLkcat,215.2535,18934.75509999998,2627.7247513760544
HVCD_num1,DLkcat,213.4274,31187.604800000016,12318.012956224193
GCCb,DLkcat,212.4117,39641.98860000003,19289.701324418405
PGSA181_num1,DLkcat,211.3224,22009.1529,34565.6483671391
AGPAT161_num2,DLkcat,195.1929,25254.35479999999,13912.341961711894
IOR2b_num3,DLkcat,189.1465,26763.262599999987,1857.1198910778458
NADH17pp_num1,DLkcat,183.5602,43713.63119999999,1242.5978548289017
CSND,DLkcat,165.2607,18977.754300000004,15674.629110357906
ACACT4r_num6,DLkcat,161.8121,40722.37380000002,7152.3772516424315
PACCOAL3_num1,DLkcat,158.9497,48800.89530000003,5862.791209898146
VOR2b,DLkcat,157.3473,26763.262599999987,1544.9019708923668
ADD,DLkcat,157.2435,63695.34930000019,4443.625839414295
TKT1_num2,DLkcat,153.965,72303.43290000033,3832.971532393156
OIVD1r_num1,DLkcat,153.5027,38845.30600000005,2260.682370249849
CSPMDDH,DLkcat,153.0749,44171.2633,6237.875021337685
DHDPS,DLkcat,151.5788,31124.8008,4383.029497171914
HACD8_num1,DLkcat,147.0642,31187.604800000016,8487.845145453422
OHPBAT,DLkcat,143.1993,39136.63040000005,13172.250005457785
TYRTA_reverse_num1,DLkcat,143.167,49028.5683,5256.131454281116
ACACT2r_num6,DLkcat,141.4906,40722.37380000002,6254.131481893127
ACACT3r_num6,DLkcat,141.4906,40722.37380000002,6254.131481893127
ACACT5r_num6,DLkcat,141.4906,40722.37380000002,6254.131481893127
AACPS8_num2,DLkcat,141.4906,120587.96280000082,2112.010801794541
ACACT6r_num6,DLkcat,141.4906,40722.37380000002,6254.131481893127
ACACT7r_reverse_num4,DLkcat,141.4906,41173.07760000003,6185.670220581223
LACD_reverse,DLkcat,138.0433,45685.86220000002,7740.810457891717
SUCBZT2_reverse,DLkcat,134.3912,69149.63640000019,6996.541777911629
MICITDr_num2,DLkcat,133.1648,91139.99510000058,5259.966049745782
ME2,DLkcat,128.9671,82338.15110000037,2819.3586678678644
I2FE2SR_num2,DLkcat,124.6317,30963.05040000004,6310.23956830194
TUNGSabcpp_num1,DLkcat,121.3017,30148.416700000034,3218.705416113286
ASPTA_num1,DLkcat,121.3017,49028.5683,4453.384375084842
PHEPS,DLkcat,121.3017,42021.37210000003,1949.5550042346454
WCOS_num1,DLkcat,121.3017,43046.566000000064,10144.505371229829
PERD_reverse,DLkcat,116.3518,58805.33420000016,7122.933415792047
ACOAD8f_reverse_num6,DLkcat,112.3128,41288.693400000055,4896.329318088804
3OAS80_num3,DLkcat,112.3128,35238.46700000002,5736.998717906766
UAAGDS,DLkcat,110.8275,54732.32880000008,2429.8801625265355
POR,DLkcat,109.2211,129191.54900000096,1521.7557303225658
ACACT7r_reverse_num5,DLkcat,109.1589,42710.71020000002,4600.392245409207
POR3b,DLkcat,108.5213,7177.351200000003,1065.5077669194313
ASAD_reverse_num2,DLkcat,108.5196,36629.55700000003,5332.722970141294
ECOAH4_reverse_num9,DLkcat,108.2423,28203.370899999994,3454.1285985073514
PPAt2pp_num1,DLkcat,108.1806,54260.73300000013,7177.384795004503
ICDHyr_reverse,DLkcat,106.2291,81188.91850000055,2355.1536777768347
PMPK,DLkcat,103.3491,52390.241000000045,7101.642460472737
HACD1_num2,DLkcat,102.6455,30776.67469999998,6003.309382868452
IORb_num2,DLkcat,101.349,18934.75509999998,1237.2262278068033
