metname,inchikey
camp,IVOMOUWHDPKRLL-KQYNXXCUSA-M
nad,BAWFJGJZGIEFAR-NNYOXOHSSA-M
amob,UOKVQQMBGVMXPU-CJPDYEHRSA-N
adocbip,MQCMBMUJJHSGIF-QMUWONGRSA-K
5mthf,ZNOVTXRBGFNYRX-STQMWFEESA-L
2pg,GXIURPTVHJPJLF-UWTATZPHSA-K
dpcoa,KDTSHFARGAKYJN-IBOSZNHHSA-L
2dhp,PKVVTUWHANFMQC-UHFFFAOYSA-M
pep,DTBNBXWJWCWCIK-UHFFFAOYSA-K
g1p,HXXFSFRBOHSIMQ-GASJEMHNSA-L
dma,ROSDSFDQCJNGOL-UHFFFAOYSA-O
4ampm,SSWDVESQMBHOQT-UHFFFAOYSA-N
5caiz,JHLXDWGVSYMXPL-XVFCMESISA-K
aacoa,OJFDKHTZOUZBOS-CITAKDKDSA-J
grdp,GVVPGTZRZFNKDS-JXMROGBWSA-K
hmgcoa,CABVTRNMFUVUDM-SJBCKIPMSA-I
udp,XCCTYIAWTASOJW-XVFCMESISA-K
thymd,IQFYYKKMVGJFEH-XLPZGREQSA-N
meoh,OKKJLVBELUTLKV-UHFFFAOYSA-N
urea,XSQUKJJJFZCRTK-UHFFFAOYSA-N
nadph,ACFIXJIJDZMPPO-NNYOXOHSSA-J
f420_5,NA
trnapro,NA
sheme,DLKSSIHHLYNIKN-QIISWYHFSA-D
cdpg,PZJOIILIPTVGFU-UWTATZPHSA-K
dhadrtpr,NA
pmcoa,LYCRXMTYUZDUGA-UYRKPTJQSA-I
trnamet,NA
13dpg,LJQLQCAXBUHEAZ-UWTATZPHSA-J
alac__S,NMDWGEGFJUBKLB-YFKPBYRVSA-M
applp,YBOLZUJJGUZUDC-GSVOUGTGSA-M
copre2,BKIWSQUNFCJSOI-HZUOBFSFSA-E
lppg,JAIRGSHHKMPRGE-LJRSMJOYSA-K
lac__L,JVTAAEKCZFNVCJ-REOHCLBHSA-M
argtrna,NA
2pglyc,ASCFNMCAHFUBCO-UHFFFAOYSA-K
4pasp,IXZNKTPIYKDIGG-REOHCLBHSA-L
hmbil,WDFJYRZCZIUBPR-UHFFFAOYSA-F
cmp,IERHLVCPSMICTF-XVFCMESISA-L
6hmhptpp,FCQGJGLSOWZZON-UHFFFAOYSA-K
lald__L,BSABBBMNWQWLLU-VKHMYHEASA-N
cbasp,HLKXYZVTANABHZ-REOHCLBHSA-L
mphenh2,NA
acser,VZXPDPZARILFQX-BYPYZUCNSA-N
chor,WTFXTQVDAKGDEY-HTQZYQBOSA-L
copre3,FKTVLCPLZMVWHD-LPFAUARPSA-E
cdp,ZWIADYZPOWUWEW-XVFCMESISA-K
uaccg,BEGZZYPUNCJHKP-DBYWSUQTSA-K
4hba,BVJSUAQZOZWCKN-UHFFFAOYSA-N
25aics,NAQGHJTUZRHGAC-ZZZDFHIKSA-J
indpyr,RSTKLPZEZYGQPY-UHFFFAOYSA-M
4abut,BTCSSZJGUNDROE-UHFFFAOYSA-N
hxan,FDGQSTZJBFJUBT-UHFFFAOYSA-N
gal1p,HXXFSFRBOHSIMQ-FPRJBGLDSA-L
cmaphis,YBMOTEQVMANKGX-JAMMHHFISA-N
ppcoa,QAQREVBBADEHPA-IEXPHMLFSA-J
thr__L,AYFVYJQAPQTCCC-GBXIJSLDSA-N
gln__L,ZDXPYRJPNDTMRX-VKHMYHEASA-N
