reactions,data_type,kcat,MW,kcat_MW
DHORD5,DLkcat,,,
GNK,DLkcat,,,
DHPS,DLkcat,,,
GUAD,DLkcat,,,
HCITS,DLkcat,,,
DHPS2,DLkcat,,,
KAS15,DLkcat,,,
IPDPS,DLkcat,,,
HAMR_num1,DLkcat,,,
HXPRT_num1,DLkcat,,,
GUAPRT_num1,DLkcat,,,
LYSDC_num1,DLkcat,,,
ICDHx,DLkcat,,,
HYDFDN2r_num1,DLkcat,,,
HEX1,DLkcat,,,
HETZK_num1,DLkcat,,,
HISTD,DLkcat,,,
HYDFDi_num1,DLkcat,,,
DMATT,DLkcat,,,
IG3PS,DLkcat,,,
HISTP,DLkcat,,,
IGPS,DLkcat,,,
DMPPS,DLkcat,,,
ILETRS,DLkcat,,,
HMBS,DLkcat,,,
HMPK1,DLkcat,,,
HSK,DLkcat,,,
DPCOAK,DLkcat,,,
HSDy_num1,DLkcat,,,
HSST,DLkcat,,,
HSTPT,DLkcat,,,
ILEt2r,DLkcat,,,
ILETA_num1,DLkcat,,,
LEUTA_num1,DLkcat,,,
HXAND_num1,DLkcat,,,
DPR,DLkcat,,,
METS,DLkcat,,,
LEUt2r,DLkcat,,,
IPPS,DLkcat,,,
METTRS,DLkcat,,,
IPMD_num1,DLkcat,,,
IZPN,DLkcat,,,
IPPMIb,DLkcat,,,
KARA1_num1,DLkcat,,,
KARA2_num1,DLkcat,,,
LCARS,DLkcat,,,
LDH_D,DLkcat,,,
LEUTRS,DLkcat,,,
MALTHXabc,DLkcat,,,
LYSt2r_num1,DLkcat,,,
MALTTRabc,DLkcat,,,
MALTabc,DLkcat,,,
MAN1PT2_num1,DLkcat,,,
MANpts,DLkcat,,,
MDH,DLkcat,,,
MTAN,DLkcat,,,
MPTG2ex,DLkcat,,,
ORNDC_num1,DLkcat,,,
MECDPDH2,DLkcat,,,
ME1_num1,DLkcat,,,
ME2_num1,DLkcat,,,
MDDCP1ex_num1,DLkcat,,,
MDDCP2ex_num1,DLkcat,,,
MTHFD,DLkcat,,,
MTHFC_num1,DLkcat,,,
MTHFR5,DLkcat,,,
NADS1,DLkcat,,,
MDDCP3ex_num1,DLkcat,,,
MDDCP4ex_num1,DLkcat,,,
MEPCT,DLkcat,,,
METAT_num1,DLkcat,,,
NADS2,DLkcat,,,
NAPRT,DLkcat,,,
PHETRS,DLkcat,,,
PC20M,DLkcat,,,
NFORGLUAH,DLkcat,,,
PC17M,DLkcat,,,
NNAM,DLkcat,,,
PC11M,DLkcat,,,
NIT1b_num1,DLkcat,,,
NNATr,DLkcat,,,
NNDMBRT,DLkcat,,,
PC6AR,DLkcat,,,
PC6YM,DLkcat,,,
NNDPR_num1,DLkcat,,,
SDPTA,DLkcat,,,
PUNP1,DLkcat,,,
PC8XM,DLkcat,,,
SERt2r_num1,DLkcat,,,
RBFK,DLkcat,,,
PNP,DLkcat,,,
NTRARf,DLkcat,,,
PSD160,DLkcat,,,
PSD161,DLkcat,,,
PSD180,DLkcat,,,
OCTDPS,DLkcat,,,
PSD181,DLkcat,,,
OBTFL_num1,DLkcat,,,
PMPK,DLkcat,,,
NTRIR5,DLkcat,,,
PSD140,DLkcat,,,
OMPDC,DLkcat,,,
PSERT,DLkcat,,,
PAPPT3,DLkcat,,,
PSSA120,DLkcat,,,
PSP_L_num1,DLkcat,,,
OCBT_num1,DLkcat,,,
ORPT,DLkcat,,,
P5CR,DLkcat,,,
PSSA140,DLkcat,,,
PC,DLkcat,,,
PSSA160,DLkcat,,,
PSSA161,DLkcat,,,
PSSA180,DLkcat,,,
PTA2,DLkcat,,,
PTAr,DLkcat,,,
P5CRx,DLkcat,,,
PTPATi,DLkcat,,,
PYK,DLkcat,,,
PTRCabc,DLkcat,,,
PGCD_num1,DLkcat,,,
PYNP1,DLkcat,,,
PFK_num1,DLkcat,,,
QULNS,DLkcat,,,
RBFSa,DLkcat,,,
RBK_L1,DLkcat,,,
PFK_2_num1,DLkcat,,,
RIBFLVt2,DLkcat,,,
PFK_3_num1,DLkcat,,,
RIBabc,DLkcat,,,
PGK,DLkcat,,,
RMK,DLkcat,,,
RMNt,DLkcat,,,
RNDR1,DLkcat,,,
RNDR2,DLkcat,,,
RNDR3,DLkcat,,,
RNDR4,DLkcat,,,
SHSL2r,DLkcat,,,
RNTR2,DLkcat,,,
RNF,DLkcat,,,
RNTR3,DLkcat,,,
RNTR4,DLkcat,,,
THFGLUS,DLkcat,,,
PGSA120,DLkcat,,,
TMK,DLkcat,,,
RNTR1,DLkcat,,,
UAGDP,DLkcat,,,
RZ5PP,DLkcat,,,
PGSA140,DLkcat,,,
TYRTA_num1,DLkcat,,,
SDPDS,DLkcat,,,
PGSA160,DLkcat,,,
SERAT,DLkcat,,,
SHKK,DLkcat,,,
PGSA161,DLkcat,,,
SHK3Dr_num1,DLkcat,,,
SPMS,DLkcat,,,
SELNPS_num1,DLkcat,,,
SERTRS,DLkcat,,,
PHETA1_num1,DLkcat,,,
SHCHCC,DLkcat,,,
SHCHF,DLkcat,,,
SHCHD2,DLkcat,,,
SSALx,DLkcat,,,
UAAGDS,DLkcat,,,
XYLabc,DLkcat,,19366.0621,
TAURabc,DLkcat,,,
PNTK,DLkcat,,,
SULR3,DLkcat,,,
TALA_num1,DLkcat,,,
THDPS,DLkcat,,,
PLPS,DLkcat,,,
TDPDRR_num1,DLkcat,,,
THRPDC,DLkcat,,,
POR_num1,DLkcat,,,
TMN,DLkcat,,,
TKT1_num1,DLkcat,,,
3OAR40_num1,DLkcat,,,
3OAR60_num1,DLkcat,,,
TMPPP_num1,DLkcat,,,
