,kcat,data_type,MW,kcat_MW
CDAPPA160190,5403.507963854259,fill,28608.141000000007,679968.2883929902
ADOCBLS,41.985,Other_species,48690.93939999998,3104.19149563584
CDAPPA190,5403.507963854259,fill,28608.141000000007,679968.2883929902
ADPT,0.5178166666666667,Database,44080.40459999998,42.289539238938865
CDPPT160,5403.507963854259,fill,46502.55859999999,418313.0833122661
CDPPT160190,5403.507963854259,fill,46502.55859999999,418313.0833122661
DHNPA_1,5403.507963854259,fill,58209.054399999935,334185.6154577105
ADSK,43.2254,Other_species,67838.0891000003,2293.865320566633
DHNPA2r,0.0057,Database,58209.054399999935,0.35252247629709
ADSL1r,0.1,Database,51039.88810000015,7.053306999707136
DHORTS,64.35333333333334,Other_species,135575.59890000033,1708.8030728219742
ADSL2r,0.1,Database,51039.88810000015,7.053306999707136
DHPPDA,5403.507963854259,fill,106098.25050000007,183345.42349381454
DHPPDA2_num1,6.166667,Other_species,27693.20450000002,801.6407490870183
DHPS2_num1,0.5833333,Database,57685.240200000015,36.404457582548126
ADSS,77.78661538461539,Other_species,93643.85400000012,2990.391824161947
DHQTi,24.378025,Database,189477.35639999984,463.1734982344311
AFTA,5403.507963854259,fill,69514.43830000027,279835.8031165341
DHQS,1476.1764705882354,Other_species,457423.39920000057,11617.760052091451
DMATT_num1,0.0485,Database,466220.5332000009,0.3745008800912239
DMPPS,2.64,Other_species,36296.62850000005,261.84250143232964
AGDC,65.81,Other_species,38804.60740000008,6105.357478761646
DPCOAK,0.0387,Database,44668.0003000001,3.1190113518468765
DPR,16.84285714285714,Other_species,62064.696400000015,976.9529093239179
DRPA,107.5737,Other_species,22068.061999999987,17548.678266356157
DSERt2,5403.507963854259,fill,120092.91600000046,161979.81794259418
FACOAL200_num1,5403.507963854259,fill,60960.845500000185,319100.3751723764
DTMPK,4.5,Database,45268.53579999995,357.8644573699691
DUTPDP,2.11,Database,47408.33549999994,160.22498828291512
DXPRIi,3.02249,Database,42852.967200000145,253.91389933903955
DXPS_num1,49.35031818181818,Other_species,114360.34040000023,1553.5206071714797
FACOAL80_num1,0.6263333333333333,Other_species,125679.96220000031,17.940807432865334
ENO,66.2408972972973,Other_species,44960.96780000004,5303.872268298238
FACOALPREPH,5403.507963854259,fill,126086.41400000044,154280.13259125018
FAMPL1,5403.507963854259,fill,69231.13670000031,280980.9227049026
FAMPL2,5403.507963854259,fill,69231.13670000031,280980.9227049026
FAMPL3,5403.507963854259,fill,69231.13670000031,280980.9227049026
FAMPL4,5403.507963854259,fill,69231.13670000031,280980.9227049026
FAMPL5,5403.507963854259,fill,69231.13670000031,280980.9227049026
FAO1,5403.507963854259,fill,690280.4340000006,28180.76206673318
FAO10,5403.507963854259,fill,690280.4340000006,28180.76206673318
FAO11,5403.507963854259,fill,690280.4340000006,28180.76206673318
FACOAE140_num1,0.014971428571428571,Database,123169.70700000002,0.43758440423295675
FAO2,5403.507963854259,fill,690280.4340000006,28180.76206673318
FACOAE160_num1,0.014971428571428571,Database,123169.70700000002,0.43758440423295675
FACOAE180_num1,0.014971428571428571,Database,123169.70700000002,0.43758440423295675
FAO3,5403.507963854259,fill,690280.4340000006,28180.76206673318
FAS100,9.280531818181819,Other_species,864699.7012000058,38.637592333025225
FACOAL140_num1,5403.507963854259,fill,60960.845500000185,319100.3751723764
FACOAL160_num1,0.6263333333333333,Other_species,125679.96220000031,17.940807432865334
FACOAL161_num1,5403.507963854259,fill,60960.845500000185,319100.3751723764
FACOAL180_num1,0.6263333333333333,Other_species,60960.845500000185,36.98767596653483
