reactions,metabolites,metabolitestotal,gpr,genes
GARFT,gar_c,gar,SYNPCC7942_RS04925,SYNPCC7942_RS04925
H4THDPR,4hthdp_c,4hthdp,SYNPCC7942_RS10835,SYNPCC7942_RS10835
GLCS3,adpglc_c,adpglc,SYNPCC7942_RS12785,SYNPCC7942_RS12785
GLCS3,amylose_c,amylose,SYNPCC7942_RS12785,SYNPCC7942_RS12785
AICART,10fthf_c,10fthf,SYNPCC7942_RS02020,SYNPCC7942_RS02020
AICART,aicar_c,aicar,SYNPCC7942_RS02020,SYNPCC7942_RS02020
ASPTA,akg_c,akg,SYNPCC7942_RS12930,SYNPCC7942_RS12930
ASPTA,asp__L_c,asp__L,SYNPCC7942_RS12930,SYNPCC7942_RS12930
GLYOX_num1,lgt__S_c,lgt__S,SYNPCC7942_RS04820,SYNPCC7942_RS04820
PRAGSr,gly_c,gly,SYNPCC7942_RS04760,SYNPCC7942_RS04760
PRAGSr,pram_c,pram,SYNPCC7942_RS04760,SYNPCC7942_RS04760
SQD1,udpg_c,udpg,SYNPCC7942_RS02940,SYNPCC7942_RS02940
ACKr,ac_c,ac,SYNPCC7942_RS10540,SYNPCC7942_RS10540
UDCPDPS,frdp_c,frdp,SYNPCC7942_RS01345,SYNPCC7942_RS01345
UDCPDPS,ipdp_c,ipdp,SYNPCC7942_RS01345,SYNPCC7942_RS01345
SHKK,skm_c,skm,SYNPCC7942_RS04605,SYNPCC7942_RS04605
OXADC,oxa_c,oxa,SYNPCC7942_RS12135,SYNPCC7942_RS12135
G1PACT,accoa_c,accoa,SYNPCC7942_RS01465,SYNPCC7942_RS01465
G1PACT,gam1p_c,gam1p,SYNPCC7942_RS01465,SYNPCC7942_RS01465
KAS14,acACP_c,acACP,SYNPCC7942_RS02730,SYNPCC7942_RS02730
KAS14,malACP_c,malACP,SYNPCC7942_RS02730,SYNPCC7942_RS02730
OHPBAT,glu__L_c,glu__L,SYNPCC7942_RS10975,SYNPCC7942_RS10975
OHPBAT,ohpb_c,ohpb,SYNPCC7942_RS10975,SYNPCC7942_RS10975
3OAR160,3opalmACP_c,3opalmACP,SYNPCC7942_RS03505,SYNPCC7942_RS03505
NMNS,ncam_c,ncam,SYNPCC7942_RS01045,SYNPCC7942_RS01045
NMNS,prpp_c,prpp,SYNPCC7942_RS01045,SYNPCC7942_RS01045
GALUi,g1p_c,g1p,SYNPCC7942_RS10005,SYNPCC7942_RS10005
OMPDC,orot5p_c,orot5p,SYNPCC7942_RS13055,SYNPCC7942_RS13055
GLUSfx,akg_c,akg,SYNPCC7942_RS04585,SYNPCC7942_RS04585
GLUSfx,fdxrd_c,fdxrd,SYNPCC7942_RS04585,SYNPCC7942_RS04585
GLUSfx,gln__L_c,gln__L,SYNPCC7942_RS04585,SYNPCC7942_RS04585
NADS2,dnad_c,dnad,SYNPCC7942_RS00535,SYNPCC7942_RS00535
NADS2,gln__L_c,gln__L,SYNPCC7942_RS00535,SYNPCC7942_RS00535
GLUTRR,glutrna_c,glutrna,SYNPCC7942_RS02560,SYNPCC7942_RS02560
G1PTT,g1p_c,g1p,SYNPCC7942_RS10650,SYNPCC7942_RS10650
UAMAGS,glu__D_c,glu__D,SYNPCC7942_RS08500,SYNPCC7942_RS08500
UAMAGS,uama_c,uama,SYNPCC7942_RS08500,SYNPCC7942_RS08500
SPS,f6p_c,f6p,SYNPCC7942_RS04180,SYNPCC7942_RS04180
SPS,udpg_c,udpg,SYNPCC7942_RS04180,SYNPCC7942_RS04180
DAPDC,26dap__M_c,26dap__M,SYNPCC7942_RS01335,SYNPCC7942_RS01335
PSIum,fdxox_c,fdxox,SYNPCC7942_RS02075 and SYNPCC7942_RS02720 and SYNPCC7942_RS03350 and SYNPCC7942_RS04735 and SYNPCC7942_RS05140 and SYNPCC7942_RS06400 and SYNPCC7942_RS06405 and SYNPCC7942_RS06760 and SYNPCC7942_RS09705 and SYNPCC7942_RS10390 and SYNPCC7942_RS10395 and SYNPCC7942_RS11800 and SYNPCC7942_RS11900 and SYNPCC7942_RS11905 and SYNPCC7942_RS12755,SYNPCC7942_RS02720
PSIum,fdxox_c,fdxox,SYNPCC7942_RS02075 and SYNPCC7942_RS02720 and SYNPCC7942_RS03350 and SYNPCC7942_RS04735 and SYNPCC7942_RS05140 and SYNPCC7942_RS06400 and SYNPCC7942_RS06405 and SYNPCC7942_RS06760 and SYNPCC7942_RS09705 and SYNPCC7942_RS10390 and SYNPCC7942_RS10395 and SYNPCC7942_RS11800 and SYNPCC7942_RS11900 and SYNPCC7942_RS11905 and SYNPCC7942_RS12755,SYNPCC7942_RS06405
PSIum,fdxox_c,fdxox,SYNPCC7942_RS02075 and SYNPCC7942_RS02720 and SYNPCC7942_RS03350 and SYNPCC7942_RS04735 and SYNPCC7942_RS05140 and SYNPCC7942_RS06400 and SYNPCC7942_RS06405 and SYNPCC7942_RS06760 and SYNPCC7942_RS09705 and SYNPCC7942_RS10390 and SYNPCC7942_RS10395 and SYNPCC7942_RS11800 and SYNPCC7942_RS11900 and SYNPCC7942_RS11905 and SYNPCC7942_RS12755,SYNPCC7942_RS05140
PSIum,fdxox_c,fdxox,SYNPCC7942_RS02075 and SYNPCC7942_RS02720 and SYNPCC7942_RS03350 and SYNPCC7942_RS04735 and SYNPCC7942_RS05140 and SYNPCC7942_RS06400 and SYNPCC7942_RS06405 and SYNPCC7942_RS06760 and SYNPCC7942_RS09705 and SYNPCC7942_RS10390 and SYNPCC7942_RS10395 and SYNPCC7942_RS11800 and SYNPCC7942_RS11900 and SYNPCC7942_RS11905 and SYNPCC7942_RS12755,SYNPCC7942_RS06760
