,gpr,ec
G3PT,b0822 or b0675,3.1.3.21
CINNDO,b2540 and b2542 and b2538 and b2539,1.14.12.19
DHPPD,b2541,1.3.1.87
DHCIND,b2541,1.3.1.87
CITL,b0614 and b0615 and b0617 and b0616,4.1.3.6
GOFUCR,b2052,1.1.1.271
PYDXK,b2418 or b1636,2.7.1.35
GTPCII2,b1277,3.5.4.25
URIC,,1.7.3.3
SADT2,b2752 and b2751,2.7.7.4
LCARS,b2799,1.1.1.77
ALCD19,b1478 or b1241,"['1.1.1.21', '1.1.1.72']"
RMPA,b3902,4.1.2.19
SBTPD,b2705,1.1.1.140
PFK_2,b3916,"['2.7.1.11', '2.7.1.144', '2.7.1.56']"
GLTPD,b2091,"['1.1.1.251', '1.1.1.M6']"
TGBPA,( b3132 and b3137 ) or ( b2095 and b2096 ),4.1.2.40
MANAO,b4323,1.1.1.57
TAGURr,b1521,1.1.1.58
PGLYCP,b3385,3.1.3.18
GLXCL,b0507,4.1.1.47
TARTD,b3062 and b3061,4.2.1.32
GLCRAL,b3126,4.1.2.20
KAS14,b2323 or b1095,"['2.3.1.-', '2.3.1.179', '2.3.1.180', '2.3.1.41', '2.3.1.85', '2.3.1.86']"
EDTXS1,b1054,2.3.1.241
EDTXS2,b1855,2.3.1.243
EDTXS3,b2378,
EDTXS4,b1855,
NNDPR,b0109,2.4.2.19
HACD4,b3846 or b2341,"['1.1.1.211', '1.1.1.35']"
HACD7,b2341 or b3846,"['1.1.1.211', '1.1.1.35']"
AACPS1,b1094 and b2836,6.2.1.20
SDPDS,b2472,3.5.1.18
DMSOR1,( b1588 and b1589 and b1590 and b1587 ) or ( b0896 and b0895 and b0894 ),
DKGLCNR2y,b3553,"['1.1.1.-', '1.1.1.215']"
2DGULRy,b3553,
RZ5PP,b0638,3.1.3.73
NTD9,b2361 or b2744 or b3399 or b0675,3.1.3.5
NTD10,b2744,3.1.3.5
ADPT,b0469,"['2.4.2.7', '2.4.2.8']"
ADK1,b0474,2.7.4.3
OCTDPS,b3187,2.5.1.90
AACPS2,b1094 and b2836,6.2.1.20
AACPS3,b1094 and b2836,6.2.1.20
AACPS4,b2836 and b1094,
AMANK,b3222,2.7.1.60
ACNML,b3225,4.1.3.3
CAT,b1732 or b3942,"['1.11.1.21', '1.11.1.6']"
SERASr,b0586,
DMSOR2,b0896 and b0895 and b0894,
ACMAMUT,b3794,2.4.1.180
DDGALK,b3693,"['2.7.1.178', '2.7.1.58']"
AB6PGH,b3721 or b2901 or b2716,3.2.1.86
AMALT1,b3416,2.4.1.25
MLTP2,b3417,2.4.1.1
PACCOAL,b1398,6.2.1.30
GP4GH,b0049,
ACGAMT,b3784,
AADDGT,b4481,2.4.1.325
GMHEPK,b3052,
TRE6PS,b1896,2.4.1.15
UDCPDP,b1278 or b0841 or b3057,
TREH,b3519,3.2.1.28
CYTK1,b0910,"['2.7.4.14', '2.7.4.25']"
CYTK2,b0910,"['2.7.4.13', '2.7.4.14', '2.7.4.25']"
GK1,b3648,2.7.4.8
HACD1,b3846 or b2341,1.1.1.35
HACD2,b3846 or b2341,"['1.1.1.211', '1.1.1.35']"
ACACCT,( b2222 and b2221 ) or b1694,"['2.8.3.8', '2.8.3.9']"
BUTCT,b2222 and b2221,2.8.3.8
2DGULRx,b3553,
G1PTT,b2039 or b3789,2.7.7.24
TDPGDH,b3788 or b2041,4.2.1.46
UDPGALM,b2036,5.4.99.9
TDPDRE,b2038,5.1.3.13
TDPDRR,b2040,1.1.1.133
G3PD6,b2242 and b2243 and b2241,
ALLTN,b0512,3.5.2.5
UAPGR,b3972,1.3.1.98
NDPK7,b0474 or b2518,2.7.4.6
AOBUTDs,s0001,1.1.1.381
GLYAT,b3617,"['2.3.1.29', '2.3.1.37']"
ADNUC,b0030,"['3.2.2.1', '3.2.2.7', '3.2.2.8']"
GMHEPPA,b0200,
S7PI,b0222,5.3.1.28
TRPS3,b1260 and b1261,"['4.1.2.8', '4.2.1.20']"
CRNBTCT,b0038,2.8.3.21
CRNCBCT,b0038,2.8.3.21
CRNCDH,b0036,4.2.1.149
FADRx,b3844,"['1.5.1.36', '1.5.1.37', '1.5.1.45']"
GTPDPK,b2784,2.7.6.5
NADN,,"['3.2.2.5', '3.2.2.6', '3.5.1.-']"
NDPK2,b0474 or b2518,2.7.4.6
NDPK3,b2518 or b0474,2.7.4.6
NDPK4,b0474 or b2518,2.7.4.6
FCLT,b2431 or b0475 or b1019,4.99.1.1
HBZOPT,b4040,2.5.1.39
PNTK,b3974,2.7.1.33
DPCOAK,b0103,2.7.1.24
HETZK,b2104,2.7.1.50
KDOPS,b1215,2.5.1.55
KDOPP,b3198,3.1.3.45
AST,b1747,2.3.1.109
SGDS,b1744,3.5.1.96
CYNTAH,b0340,4.2.1.104
GSPMDA,b2988,"['3.5.1.-', '3.5.1.78']"
GSPMDS,b2988,"['6.3.1.8', '6.3.1.9']"
GUAD,b2883,3.5.4.3
TMAOR1,( b0896 and b0895 and b0894 ) or ( b1588 and b1589 and b1590 and b1587 ),
TMAOR2,b0896 and b0895 and b0894,
DGK1,b3648,"['2.7.4.12', '2.7.4.13', '2.7.4.8']"
DTMPK,b1098,"['2.7.4.12', '2.7.4.13', '2.7.4.9']"
NDPK1,b0474 or b2518,2.7.4.6
TRDR,( b0888 and b3781 ) or ( b2582 and b0888 ),"['1.6.4.5', '1.8.1.9']"
PGMT,b0688 or b2690 or b1317,"['5.4.2.2', '5.4.2.5', '5.4.2.8']"
FRUK,b2168,2.7.1.56
RHCCE,b2687,4.4.1.21
KG6PDC,b4196 or b3581,4.1.1.85
X5PL3E,b4197 or b3582,"['5.-.-.-', '5.1.3.22']"
DOGULNR,b3575,1.1.1.130
BETALDHx,b0312,1.2.1.8
BETALDHy,b0312,1.2.1.8
MLTG3,b0403,"['3.2.1.20', '3.2.1.74']"
DKGLCNR1,b3012 or b0207,
NADTRHD,b3962,"['1.6.1.1', '1.6.1.2', '1.6.1.3']"
FMNRx2,b0937 or b3844 or b2764,"['1.5.1.-', '1.5.1.38', '1.5.1.39']"
ACPS1,b2563 or b3475,2.7.8.7
GMPS2,b2507,6.3.5.2
AMPN,b1982,3.2.2.4
GSNK,b0477,2.7.1.73
ADCS,b1812 and b3360,2.6.1.85
ADCL,b1096 or b4039,4.1.3.38
DHAPT,b2415 and b1198 and b1200 and b2416 and b1199,2.7.1.121
UMPK,b0910 or b0171,"['2.7.4.14', '2.7.4.22', '2.7.4.4']"
DDPGALA,b4477,"['4.1.2.21', '4.1.2.55']"
DURIK1,b1238,"['2.7.1.145', '2.7.1.21']"
UPPRT,b2498,2.4.2.9
CTPS2,b2780,6.3.4.2
NTD1,b2291 or b2744 or b4374 or b2361,"['3.1.3.5', '3.1.3.89']"
NTD7,b3399 or b2744 or b2361 or b0675,3.1.3.5
PAPPT3,b0087,2.7.8.13
UAGPT3,b0090,2.4.1.227
F6PA,b0825 or b3946,4.1.2.-
AGMHE,b3619,5.1.3.20
GMHEPAT,b3052,2.7.7.70
IDOND,b4267,"['1.1.1.264', '1.1.1.366']"
IDOND2,b4267,1.1.1.264
GLYCLTDx,b3553 or b1033,"['1.1.1.26', '1.1.1.29', '1.1.1.79']"
HPYRRy,b1033 or b3553,"['1.1.1.-', '1.1.1.79', '1.1.1.81']"
ACODA,b3957,"['3.5.1.14', '3.5.1.16']"
ADA,b1623,3.5.4.4
DADA,b1623,3.5.4.4
ADD,b3665,3.5.4.2
ADSS,b4177,6.3.4.4
AGDC,b0677,3.5.1.25
ASNN,b1767 or b0828,"['3.5.1.1', '3.5.1.38', '3.5.5.4']"
ASNS2,b3744 or b0674,"['6.3.1.1', '6.3.5.4']"
ASPCT,( b4244 and b4245 ) or b4245,2.1.3.2
DMPPS,b0029,1.17.1.2
MCOATA,b1094 and b1092,"['2.3.1.-', '2.3.1.0', '2.3.1.39', '2.3.1.85', '2.3.1.86']"
IPDPS,b0029,1.17.1.2
DAPE,b3809,5.1.1.7
DHDPRy,b0031,1.3.1.26
HSK,b0003,2.7.1.39
SDPTA,b2662 or b1302 or b3359 or b1748 or b0907,2.6.1.17
THRS,b0004,4.2.3.1
HSST,b4013,2.3.1.46
PPNDH,b2599,"['4.2.1.51', '4.2.1.91']"
DDPA,b0754 or b2601 or b1704,2.5.1.54
NMNDA,b2700,3.5.1.42
NNAM,b1768,3.5.1.19
P5CD,b1014,"['1.2.1.88', '1.5.1.12']"
SPMDAT1,b1584,2.3.1.57
SPMDAT2,b1584,"['2.3.1.57', '2.6.1.29']"
TDPADGAT,b3790,2.3.1.210
MALS,b4014 or b2976,2.3.3.9
TRE6PP,b1897,3.1.3.12
ADPRDP,b3397 or b3034,3.6.1.13
ARAI,b0062,"['5.3.1.4', '5.3.1.5']"
M1PD,b3600,1.1.1.17
G3PD2,b3608,1.1.1.94
GALS3,b4119,"['3.2.1.20', '3.2.1.22']"
FCI,b2802,5.3.1.3
FCLK,b2803,2.7.1.51
FCLPA,b2738 or b2800,4.1.2.17
ACCOAL,b4069 or b0335,6.2.1.13
GALUi,b1236,"['2.7.7.64', '2.7.7.9']"
U23GAAT,b0179,2.3.1.191
UAAGDS,b0085,6.3.2.13
UAMAS,b0091,6.3.2.8
UAMAGS,b0088,6.3.2.9
UGLYCH,b0505,"['3.5.1.116', '3.5.3.19']"
OP4ENH,b0350,4.2.1.80
HOPNTAL,b0352,"['4.1.2.-', '4.1.2.n4', '4.1.3.39']"
3HPPPNH,b0347,1.14.13.127
AKGDH,b0116 and b0727 and b0726,"['1.2.1.52', '1.2.4.2', '1.8.1.4', '2.3.1.61']"
HPYRRx,b1033 or b3553,"['1.1.1.26', '1.1.1.29', '1.1.1.81']"
GLYCDx,b3945,1.1.1.6
ASP1DC,b0131,"['4.1.1.11', '4.1.1.15']"
UGMDDS,b0086,6.3.2.10
UHGADA,b0096,3.5.1.108
UAGAAT,b1094 and b0181,2.3.1.129
ATPPRT,b2019,2.4.2.17
HISTD,b2020,1.1.1.23
IGPDH,b2022,4.2.1.19
PRPPS,b1207,2.7.6.1
PRATPP,b2026,3.6.1.31
PRMICI,b2024,5.3.1.16
