,UniProtID,proteinNames,txt_subunit,geneNames
181,['O96181'],[],,[]
182,['O97284'],[],,[]
183,['Q8II40'],[],,[]
184,['Q8IE38'],[],,[]
185,['Q8I6V2'],[],,[]
186,['A0A144A134'],[],,[]
187,['Q8IBP8'],[],,[]
188,['Q8I2N1'],[],,[]
189,['Q8IHW9'],[],,[]
190,['O97227'],[],,[]
191,['Q8IK85'],[],,[]
192,['Q8I0X1'],[],,[]
193,['Q8I2A8'],[],,[]
194,['Q8IB78'],[],,[]
195,['C0H494'],[],,[]
196,['Q8IKE3'],[],,[]
197,['Q8ID89'],[],,[]
198,['O96145'],[],,[]
199,['Q8I3N3'],[],,[]
200,['Q8I2V9'],[],,[]
201,['Q8IJH3'],[],,[]
202,['Q8I3Y0'],[],,[]
203,['Q8IDH5'],[],,[]
204,['Q8ILJ5'],[],,[]
205,['Q8IAZ0'],[],,[]
206,['Q8IL75'],[],,[]
207,['Q8II88'],[],,[]
208,['Q6LFH8'],[],,[]
209,['Q8IJR0'],[],,[]
210,['Q8IKB2'],[],,[]
211,['Q8I6U9'],[],,[]
212,['Q8I533'],[],,[]
213,['Q8II23'],[],,[]
214,['Q8IKD3'],[],,[]
215,['Q8I2I2'],[],,[]
216,['B3FEM7'],[],,[]
217,['Q8IJS2'],[],,[]
218,['Q8IIC3'],[],,[]
219,['Q8IL09'],[],,[]
220,['C0H4Y6'],[],,[]
221,['Q8I231'],[],,[]
222,['Q8IJJ4'],[],,[]
223,['O96186'],[],,[]
224,['Q8IIB8'],[],,[]
225,['C0H564'],[],,[]
226,['O97321'],[],,[]
227,['Q8IAQ4'],[],,[]
228,['A0A144A6T9'],[],,[]
229,['Q8IDK5'],[],,[]
230,['Q8IDM2'],[],,[]
231,['Q8IDQ9'],[],,[]
232,['Q8I599'],[],,[]
233,['Q8IM05'],[],,[]
234,['Q8II80'],[],,[]
235,['Q8I3W0'],[],,[]
236,['Q8ID33'],[],,[]
237,['Q8I2Z8'],[],,[]
238,['Q8I0W9'],[],,[]
239,['Q8IJW3'],[],,[]
240,['P27362'],[],,[]
241,['Q8IIG6'],[],,[]
242,['Q8IJS0'],[],,[]
243,['Q8IEF3'],[],,[]
244,['O97295'],[],,[]
245,['C6KT97'],[],,[]
246,['Q8IDF9'],[],,[]
247,['Q8I239'],[],,[]
248,['Q8I2X3'],[],,[]
249,['Q8I4S1'],[],,[]
250,['Q8IJ93'],[],,[]
251,['Q8II67'],[],,[]
252,['Q8I2M1'],[],,[]
253,['Q8I4R4'],[],,[]
254,['Q8II36'],[],,[]
255,['Q8IHV1'],[],,[]
256,['Q8I1R6'],[],,[]
257,['Q8ILS0'],[],,[]
258,['Q8I2G7'],[],,[]
259,['Q8I3V5'],[],,[]
260,['O96196'],[],,[]
261,['Q8IE69'],[],,[]
262,['Q8IJ83'],[],,[]
263,['Q08210'],[],,[]
264,['Q8I406'],[],,[]
265,['C0H4D2'],[],,[]
266,['Q8IKA9'],[],,[]
267,['O77353'],[],,[]
268,['Q8IM57'],[],,[]
269,['B9ZSJ6'],[],,[]
270,['Q8I537'],[],,[]
271,['Q8ILE3'],[],,[]
272,['Q8I623'],[],,[]
273,['Q8IAU3'],[],,[]
274,['Q8IDS7'],[],,[]
275,['Q8II79'],[],,[]
276,['O96266'],[],,[]
277,['C6KT87'],[],,[]
278,['O96176'],[],,[]
279,['Q8I295'],[],,[]
280,['Q8IDC5'],[],,[]
281,['Q8IB37'],[],,[]
282,['Q8IBK9'],[],,[]
283,['C6KT50'],[],,[]
284,['A0A144A4E0'],[],,[]
285,['C6KSU1'],[],,[]
286,['Q8IJM5'],[],,[]
287,['O96268'],[],,[]
288,['Q8I2Y6'],[],,[]
289,['Q8ILP4'],[],,[]
290,['Q8IBI4'],[],,[]
291,['Q8IDZ6'],[],,[]
292,['Q8IL92'],[],,[]
293,['Q8IET4'],[],,[]
294,['Q8IIV4'],[],,[]
295,['Q8IHU9'],[],,[]
296,['Q8ID54'],[],,[]
297,['Q8I570'],[],,[]
298,['Q8IBT4'],[],,[]
299,['Q8IL34'],[],,[]
300,['Q8IKR1'],[],,[]
301,['Q8IBI5'],[],,[]
302,['Q8I251'],[],,[]
303,['Q8IJI7'],[],,[]
304,['O77317'],[],,[]
305,['Q8II92'],[],,[]
306,['C0H545'],[],,[]
307,"['Q8IL67', 'Q8IL68']",[],,[]
308,['Q8ILJ7'],[],,[]
309,['A0A144A2T4'],[],,[]
310,['Q8IAZ8'],[],,[]
311,['C6KT68'],[],,[]
312,['Q8IDR1'],[],,[]
313,['Q8IDW0'],[],,[]
314,['Q9U0G7'],[],,[]
315,['C6KSY2'],[],,[]
316,['C6KSZ2'],[],,[]
317,['Q8IIX6'],[],,[]
318,['Q8I2R7'],[],,[]
319,['Q8IJC3'],[],,[]
320,['Q8II98'],[],,[]
321,['Q8IJM7'],[],,[]
322,['Q8IAY2'],[],,[]
323,['Q8ILL1'],[],,[]
324,['Q8ILJ3'],[],,[]
325,['Q8ILE7'],[],,[]
326,['Q8IE67'],[],,[]
327,['Q8IE40'],[],,[]
328,['Q8IKC5'],[],,[]
329,['A0A143ZZ61'],[],,[]
330,['Q8IIB7'],[],,[]
331,['Q8I2N0'],[],,[]
332,['Q8I2K9'],[],,[]
333,['C0H5K9'],[],,[]
334,['Q8IJJ8'],[],,[]
335,['Q8I3L4'],[],,[]
336,['C6KTB6'],[],,[]
337,['Q8IC23'],[],,[]
338,['O96230'],[],,[]
339,['Q7KQL7'],[],,[]
340,['C0H4F7'],[],,[]
341,['C6KTC8'],[],,[]
342,['Q8IIK0'],[],,[]
343,['Q8I2V7'],[],,[]
344,['Q8I3X4'],[],,[]
345,['Q8IK20'],[],,[]
346,['O96232'],[],,[]
347,['Q8I535'],[],,[]
348,['C6KT01'],[],,[]
349,['C6S3E6'],[],,[]
350,['C6KTA4'],[],,[]
351,['Q8I3A0'],[],,[]
352,['Q8I0V8'],[],,[]
353,['Q8IJ37'],[],,[]
354,['Q8I6Z1'],[],,[]
355,['Q8I372'],[],,[]
356,['Q8IKD4'],[],,[]
357,['Q8IDS8'],[],,[]
358,['O97330'],[],,[]
359,['Q8IDB3'],[],,[]
360,['C6KT35'],[],,[]
361,['Q8IJN8'],[],,[]
362,['Q8IM38'],[],,[]
363,['Q8IL94'],[],,[]
364,['Q8I638'],[],,[]
365,['Q8I5L3'],[],,[]
366,['Q8I0X2'],[],,[]
367,['Q8I3W2'],[],,[]
368,['C6KSQ7'],[],,[]
369,['Q8I348'],[],,[]
370,['Q8ILT9'],[],,[]
371,['Q8II73'],[],,[]
372,['C0H5N0'],[],,[]
373,['A0A144A3T1'],[],,[]
374,['Q8IAY6'],[],,[]
375,['Q8ID58'],[],,[]
376,['C6KT71'],[],,[]
377,['C6KST8'],[],,[]
378,['C6KSV6'],[],,[]
379,['Q8I5S5'],[],,[]
380,['Q8IJP5'],[],,[]
381,['Q8IJ66'],[],,[]
382,['O77389'],[],,[]
383,['Q8IIR8'],[],,[]
384,['Q8ILE9'],[],,[]
385,['Q8IL89'],[],,[]
386,['Q8IHP6'],[],,[]
387,['Q7KWJ5'],[],,[]
388,['Q8IKU3'],[],,[]
389,['Q8I2N6'],[],,[]
390,['C0H5G8'],[],,[]
391,['Q8I5Q6'],[],,[]
392,['Q8I5P5'],[],,[]
393,['Q8IDP4'],[],,[]
394,['C6KSV3'],[],,[]
395,['C0H556'],[],,[]
396,['Q8IIL4'],[],,[]
397,['O77370'],[],,[]
398,['A0A144A4G4'],[],,[]
399,['Q8IB97'],[],,[]
400,['O97245'],[],,[]
401,['C6KSS1'],[],,[]
402,['Q8I249'],[],,[]
403,['Q8I0U9'],[],,[]
404,['Q8I420'],[],,[]
405,['A0A144A6N0'],[],,[]
406,['Q8ILA4'],[],,[]
407,['Q8IDQ3'],[],,[]
408,['C0H4E3'],[],,[]
409,['Q8IKK7'],[],,[]
410,['Q8IJF3'],[],,[]
411,['A0A143ZXB3'],[],,[]
412,['O96130'],[],,[]
413,['Q8IKR8'],[],,[]
414,['Q8I566'],[],,[]
415,['C0H551'],[],,[]
416,['Q8I2W4'],[],,[]
417,['Q8IAM0'],[],,[]
418,['Q8ILF7'],[],,[]
419,['Q8ILT0'],[],,[]
420,['Q8ILB1'],[],,[]
421,['Q8IDI4'],[],,[]
422,['Q8IKV4'],[],,[]
423,['Q8I6T0'],[],,[]
424,['Q8II35'],[],,[]
425,['C0H490'],[],,[]
426,['Q8I5Y8'],[],,[]
427,['Q8IAX4'],[],,[]
428,['Q8IJR9'],[],,[]
429,['Q8IKT2'],[],,[]
430,['Q8IED4'],[],,[]
431,['Q8I5S7'],[],,[]
432,['Q8IM31'],[],,[]
433,['C6KSZ4'],[],,[]
434,['Q8IDS3'],[],,[]
435,['Q8IAM2'],[],,[]
436,['Q9NLB2'],[],,[]
437,['Q8I224'],[],,[]
438,['Q9U0N4'],[],,[]
439,['Q8I5C7'],[],,[]
440,['O97232'],[],,[]
441,['Q8I5T2'],[],,[]
442,['Q8IL80'],[],,[]
443,['Q8I3Y4'],[],,[]
444,['Q8I5H7'],[],,[]
445,['Q8IM69'],[],,[]
446,['Q8IDA0'],[],,[]
447,['Q8IHY1'],[],,[]
448,['Q8IJS1'],[],,[]
449,['Q8I6V3'],[],,[]
450,['O77350'],[],,[]
451,['A0A144A171'],[],,[]
452,['Q8IIL0'],[],,[]
453,['Q8I6U5'],[],,[]
454,['Q8I6U4'],[],,[]
455,['Q8IM16'],[],,[]
456,['Q8IEK1'],[],,[]
457,['Q8IHZ5'],[],,[]
